Country,latitude,longitude,Multilaterals,isCTR,CISFTA,PfP,BSEC,ConfOnDisArm,CouncEur,EurAtlPart,ParisClub,OSCE,CSTO,UnionState,EEU,CIS,ShanghiCoop,BRICS,AsiaPacEconCOop,EastAsiaSummit,G20,ACD
AFG,34.5166902863,69.1832600493,1,0,,,,,,,,,,,,,,,,,,1
DZA,36.763064798,3.0505525295,1,0,,,,1,,,,,,,,,,,,,,
BHR,26.2361362905,50.5830517159,1,0,,,,,,,,,,,,,,,,,,1
BTN,27.4729858592,89.639014037,1,0,,,,,,,,,,,,,,,,,,1
CMR,3.8667006621,11.5166507555,1,0,,,,1,,,,,,,,,,,,,,
COL,4.5964235625,-74.0833439552,1,0,,,,1,,,,,,,,,,,,,,
COD,-4.3297241019,15.3149718818,1,0,,,,1,,,,,,,,,,,,,,
HRV,45.8000067333,15.9999946682,1,0,,,,,1,,,,,,,,,,,,,
CUB,23.1319588409,-82.3641821713,1,0,,,,1,,,,,,,,,,,,,,
CZE,50.0833370149,14.4659797757,1,0,,,,,1,,,,,,,,,,,,,
ECU,-0.2149881807,-78.5000511085,1,0,,,,1,,,,,,,,,,,,,,
EGY,30.0499603465,31.2499682197,1,0,,,,1,,,,,,,,,,,,,,
ETH,9.0333103627,38.700004434,1,0,,,,1,,,,,,,,,,,,,,
IRQ,33.3386484975,44.3938687732,1,0,,,,1,,,,,,,,,,,,,,
JAM,17.9770766238,-76.7674337137,1,0,,,,,,,,,,,,,,,,,,1
JOR,31.9500252472,35.9332999255,1,0,,,,,,,,,,,,,,,,,,1
KEN,-1.2833467419,36.8166568591,1,0,,,,1,,,,,,,,,,,,,,
KOS,42.6667096141,21.1659842516,1,0,,,,,,,,,,,,,,,,,,1
KWT,29.36971763,47.9783011462,1,0,,,,,,,,,,,,,,,,,,1
LAO,17.9666927276,102.59998002,1,0,,,,,,,,,,,,,,,,1,,
MKD,42.0000061229,21.4334614651,1,0,,,,,1,,,,,,,,,,,,,
MWI,-13.9832950655,33.78330196,1,0,,,,,,,,,,,,,,,,,,1
MNG,47.9166733999,106.916615762,1,0,,,,1,,,,,,,,,,,,,,
MNE,42.4659725129,19.2663069241,1,0,,,,,1,,,,,,,,,,,,,
MAR,34.0252990916,-6.8361308201,1,0,,,,1,,,,,,,,,,,,,,
MOZ,-25.9552774874,32.5891629626,1,0,,,,,,,,,,,,,,,,,,1
NAM,-22.5700060844,17.0835461005,1,0,,,,,,,,,,,,,,,,,,1
NGA,9.0833331491,7.5333280016,1,0,,,,1,,,,,,,,,,,,,,
PRK,39.0194386994,125.754690714,1,0,,,,1,,,,,,,,,,,,,,
OMN,23.6133248077,58.5933121326,1,0,,,,,,,,,,,,,,,,,,1
PNG,-9.4647078259,147.192503621,1,0,,,,,,,,,,,,,,,1,,,
STP,0.3334021188,6.7333251532,1,0,,,,,,,,,,,,,,,,,,1
SAU,24.6408331492,46.7727416573,1,0,,,,,,,,,,,,,,,,,1,
SEN,14.715831725,-17.4731301284,1,0,,,,1,,,,,,,,,,,,,,
SLE,8.4700114125,-13.2342157404,1,0,,,,,,,,,,,,,,,,,,1
LKA,6.9319657582,79.8577506093,1,0,,,,1,,,,,,,,,,,,,,
SYR,33.5000339956,36.299995889,1,0,,,,1,,,,,,,,,,,,,,
TZA,-6.8000125947,39.2683418363,1,0,,,,,,,,,,,,,,,,,,1
URY,-34.8580415662,-56.1710522884,1,0,,,,,,,,,,,,,,,,,,1
VAT,41.9000122264,12.4478083889,1,0,,,,,,,,1,,,,,,,,,,
ZWE,-17.8177896944,31.0447094307,1,0,,,,1,,,,,,,,,,,,,,
HKG,22.304980895,114.185009317,1,0,,,,,,,,,,,,,,,1,,,
AND,42.5000014435,1.5164859605,2,0,,,,,1,,,1,,,,,,,,,,
ARG,-34.6025016085,-58.3975313737,2,0,,,,1,,,,,,,,,,,,,1,
BGD,23.7230597117,90.4085794667,2,0,,,,1,,,,,,,,,,,,,,1
KHM,11.5500301299,104.91663448,2,0,,,,,,,,,,,,,,,,1,,1
CHL,-33.4500138155,-70.6670408546,2,0,,,,1,,,,,,,,,,,1,,,
CYP,35.1666764517,33.3666348864,2,0,,,,,1,,,1,,,,,,,,,,
DNK,55.6785641904,12.5634857473,2,0,,,,,,,1,1,,,,,,,,,,
EST,59.4338773795,24.7280407295,2,0,,,,,1,,,1,,,,,,,,,,
ISL,64.1500236197,-21.9500144872,2,0,,,,,1,,,1,,,,,,,,,,
IRN,35.6719427684,51.4243440336,2,0,,,,1,,,,,,,,,,,,,,1
ISR,31.7784078156,35.2066259346,2,0,,,,1,,,1,,,,,,,,,,,
LVA,56.9500238232,24.0999653714,2,0,,,,,1,,,1,,,,,,,,,,
LIE,47.1337237743,9.5166694729,2,0,,,,,1,,,1,,,,,,,,,,
LTU,54.6833663118,25.3166352933,2,0,,,,,1,,,1,,,,,,,,,,
LUX,49.6116603791,6.1300028062,2,0,,,,,1,,,1,,,,,,,,,,
MMR,19.7665570261,96.1186185292,2,0,,,,1,,,,,,,,,,,,1,,
PAK,33.6999959503,73.1666344797,2,0,,,,1,,,,,,,,,1,,,,,
PHL,14.6041589548,120.982217162,2,0,,,,,,,,,,,,,,,1,1,,
SMR,43.9171500845,12.4666702867,2,0,,,,,1,,,1,,,,,,,,,,
SGP,1.2930334665,103.855820678,2,0,,,,,,,,,,,,,,,1,1,,
SVK,48.15001833,17.1169807522,2,0,,,,1,1,,,,,,,,,,,,,
SVN,46.0552883088,14.5149690335,2,0,,,,,1,,,1,,,,,,,,,,
TWN,25.0358333333,121.5683333333,2,0,,,,,,,,,,,,,,,1,,,1
THA,13.7499992055,100.516644652,2,0,,,,,,,,,,,,,,,1,1,,
TUN,36.8027781362,10.1796780992,2,0,,,,1,,,,,,,,,,,,,,1
TKM,37.9499949331,58.3832991118,2,0,,1,,,,1,,,,,,,,,,,,
VEN,10.5009985544,-66.9170371924,2,0,,,,1,,,,,,,,,,,,,,1
ALB,41.3275407095,19.8188830146,3,0,,,1,,1,,,1,,,,,,,,,,
BIH,43.850022399,18.383001667,3,0,,1,,,1,1,,,,,,,,,,,,
BRN,4.8833311146,114.933284057,3,0,,,,,,,,,,,,,,,1,1,,1
GRC,37.9833262319,23.7333210843,3,0,,,1,,1,,,1,,,,,,,,,,
HUN,47.5000063264,19.0833206774,3,0,,,,1,1,,,1,,,,,,,,,,
MYS,3.1666658721,101.699983275,3,0,,,,1,,,,,,,,,,,1,1,,
MEX,19.4424424428,-99.1309882017,3,0,,,,1,,,,,,,,,,,1,,1,
MCO,43.7396456879,7.4069131735,3,0,,,,,1,,,1,,,,,,,,,,1
NZL,-41.2999739393,174.783274291,3,0,,,,1,,,,,,,,,,,1,1,,
PER,-12.0480126761,-77.0500620948,3,0,,,,1,,,,,,,,,,,1,,,1
POL,52.2500006298,20.9999995511,3,0,,,,1,1,,,1,,,,,,,,,,
PRT,38.7227228779,-9.1448663055,3,0,,,,,1,,,1,,,,,,,,,,1
VNM,21.0333272491,105.8500142,3,0,,,,1,,,,,,,,,,,1,1,,
BEL,50.8333170767,4.3333166083,4,0,,,,1,1,,1,1,,,,,,,,,,
BRA,-15.7833402315,-47.9160522884,4,0,,,,1,,,1,,,,,,,1,,,1,
BGR,42.6833494253,23.3166540107,4,0,,,1,1,1,,,1,,,,,,,,,,
MLT,35.8997324819,14.5147106513,4,0,,1,,,1,1,,1,,,,,,,,,,
NLD,52.3499686881,4.916640176,4,0,,,,1,1,,1,1,,,,,,,,,,
ZAF,-33.9200109672,18.4349881578,4,0,,,,1,,,,,,,,,,1,,,1,1
AUS,-35.2830285454,149.129026244,5,0,,,,1,,,1,,,,,,,,1,1,1,
CAN,45.4166967967,-75.7000153012,5,0,,,,1,,,1,1,,,,,,,1,,1,
FIN,60.175563374,24.9341263415,5,0,,1,,1,,1,1,1,,,,,,,,,,
FRA,48.8666929312,2.3333353257,5,0,,,,1,1,,1,1,,,,,,,,,1,
GEO,41.7250099885,44.7907954496,5,0,,1,1,,1,1,,1,,,,,,,,,,
DEU,52.5218186636,13.4015486233,5,0,,,,1,1,,1,1,,,,,,,,,1,
IDN,-6.1744177054,106.829437621,5,0,,,,1,,,,,,,,,,,1,1,1,1
ITA,41.8959556265,12.4832584215,5,0,,,,1,1,,1,1,,,,,,,,,1,
JPN,35.6850169058,139.751407429,5,0,,,,1,,,1,,,,,,,,1,1,1,
NOR,59.9166902864,10.749979206,5,0,,,,1,1,,1,1,,,,,,,,,,1
ROU,44.4333718049,26.099946654,5,0,,,1,1,1,,,1,,,,,,,,,,1
SRB,44.8186454458,20.4679906806,5,0,,1,1,,1,1,,1,,,,,,,,,,
KOR,37.5663490998,126.999730997,5,0,,,,1,,,1,,,,,,,,1,1,1,
ESP,40.4000262645,-3.683351686,5,0,,,,1,1,,1,1,,,,,,,,,,1
TUR,39.9272385855,32.864391641,5,0,,,1,1,1,,,1,,,,,,,,,1,
GBR,51.4999947297,-0.1167218439,5,0,,,,1,1,,1,1,,,,,,,,,1,
AUT,48.2000152782,16.3666389554,6,0,,1,,1,1,1,1,1,,,,,,,,,,
AZE,40.3952720327,49.8622171619,6,0,,1,1,,1,1,,1,,,,1,,,,,,
IND,28.6000230092,77.1999800201,6,0,,,,1,,,,,,,,,1,1,,1,1,1
IRL,53.333061136,-6.2489056818,6,0,,1,,1,1,1,1,1,,,,,,,,,,
SWE,59.3507599543,18.0973347328,6,0,,1,,1,1,1,1,1,,,,,,,,,,
CHE,46.9166827587,7.4669754625,6,0,,1,,1,1,1,1,1,,,,,,,,,,
TJK,38.5600352163,68.7738793527,6,0,1,1,,,,1,,,1,,,1,1,,,,,
USA,38.8995493765,-77.0094185808,6,0,,,,1,,,1,1,,,,,,,1,1,1,
UZB,41.311701883,69.2949328195,6,0,1,1,,,,1,,1,,,,1,1,,,,,
CHN,39.9288922313,116.388285684,7,0,,,,1,,,,,,,,,1,1,1,1,1,1
MDA,47.0050236197,28.8577111397,7,0,1,1,1,,1,1,,1,,,,1,,,,,,
ARM,40.1811507355,44.5135513904,8,0,1,1,1,,1,,,1,1,,1,1,,,,,,
UKR,50.433367329,30.5166279691,8,0,1,1,1,1,1,1,,1,,,,,,,,,,1
BLR,53.8999774364,27.5666271553,9,0,1,1,,1,,1,,1,1,1,1,1,,,,,,
KAZ,51.1811253043,71.4277742095,9,0,1,1,,1,,1,,1,1,,1,1,1,,,,,
KGZ,42.8730794465,74.5852042225,9,0,1,1,,,,1,,1,1,,1,1,1,,,,,1
RUS,55.7521641226,37.6155228259,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
