zip,city,state,latitude,longitude,visits,cityState,isCTR
01077,Southwick,MA,42.05283,-72.76966,7,"Southwick, MA",FALSE
01340,Colrain,MA,42.673371,-72.73104,6,"Colrain, MA",FALSE
01420,Fitchburg,MA,42.578689,-71.80338,4,"Fitchburg, MA",FALSE
01431,Ashby,MA,42.672005,-71.8137,2,"Ashby, MA",FALSE
01432,Ayer,MA,42.549821,-71.59136,12,"Ayer, MA",FALSE
01436,Baldwinville,MA,42.608903,-72.08021,4,"Baldwinville, MA",FALSE
01438,East Templeton,MA,42.563367,-72.03498,2,"East Templeton, MA",FALSE
01440,Gardner,MA,42.575355,-71.99183,15,"Gardner, MA",FALSE
01450,Groton,MA,42.609887,-71.55722,45,"Groton, MA",FALSE
01453,Leominster,MA,42.526523,-71.75358,10,"Leominster, MA",FALSE
01460,Littleton,MA,42.540052,-71.49085,6,"Littleton, MA",FALSE
01462,Lunenburg,MA,42.582839,-71.72051,5,"Lunenburg, MA",FALSE
01463,Pepperell,MA,42.665686,-71.5929,106,"Pepperell, MA",FALSE
01469,Townsend,MA,42.658738,-71.69204,31,"Townsend, MA",FALSE
01474,West Townsend,MA,42.669408,-71.74578,4,"West Townsend, MA",FALSE
01510,Clinton,MA,42.418836,-71.68482,2,"Clinton, MA",FALSE
01702,Framingham,MA,42.283995,-71.42161,2,"Framingham, MA",FALSE
01721,Ashland,MA,42.257956,-71.45886,2,"Ashland, MA",FALSE
01730,Bedford,MA,42.496679,-71.27504,12,"Bedford, MA",FALSE
01740,Bolton,MA,42.437086,-71.61266,6,"Bolton, MA",FALSE
01748,Hopkinton,MA,42.220447,-71.53418,11,"Hopkinton, MA",FALSE
01801,Woburn,MA,42.484545,-71.15206,4,"Woburn, MA",FALSE
01803,Burlington,MA,42.506362,-71.20008,5,"Burlington, MA",FALSE
01821,Billerica,MA,42.54805,-71.25054,11,"Billerica, MA",FALSE
01824,Chelmsford,MA,42.595491,-71.3544,19,"Chelmsford, MA",FALSE
01826,Dracut,MA,42.677772,-71.316,4,"Dracut, MA",FALSE
01827,Dunstable,MA,42.671356,-71.50292,62,"Dunstable, MA",FALSE
01830,Haverhill,MA,42.78519,-71.07011,4,"Haverhill, MA",FALSE
01841,Lawrence,MA,42.71159,-71.16667,2,"Lawrence, MA",FALSE
01843,Lawrence,MA,42.691091,-71.16078,2,"Lawrence, MA",FALSE
01844,Methuen,MA,42.73004,-71.17935,4,"Methuen, MA",FALSE
01850,Lowell,MA,42.655791,-71.30504,8,"Lowell, MA",FALSE
01851,Lowell,MA,42.630915,-71.33238,22,"Lowell, MA",FALSE
01852,Lowell,MA,42.634112,-71.29849,10,"Lowell, MA",FALSE
01853,Lowell,MA,42.446396,-71.459405,2,"Lowell, MA",FALSE
01854,Lowell,MA,42.649758,-71.33348,3,"Lowell, MA",FALSE
01863,North Chelmsford,MA,42.634199,-71.39322,26,"North Chelmsford, MA",FALSE
01879,Tyngsboro,MA,42.671589,-71.41694,42,"Tyngsboro, MA",FALSE
01886,Westford,MA,42.592086,-71.43754,48,"Westford, MA",FALSE
01890,Winchester,MA,42.451945,-71.14276,2,"Winchester, MA",FALSE
01904,Lynn,MA,42.490421,-70.96579,4,"Lynn, MA",FALSE
01907,Swampscott,MA,42.474409,-70.90588,5,"Swampscott, MA",FALSE
01913,Amesbury,MA,42.854423,-70.93547,10,"Amesbury, MA",FALSE
01950,Newburyport,MA,42.809891,-70.86363,2,"Newburyport, MA",FALSE
01952,Salisbury,MA,42.85048,-70.86153,2,"Salisbury, MA",FALSE
01982,South Hamilton,MA,42.616643,-70.86513,2,"South Hamilton, MA",FALSE
02019,Bellingham,MA,42.075122,-71.47953,6,"Bellingham, MA",FALSE
02038,Franklin,MA,42.089104,-71.4069,2,"Franklin, MA",FALSE
02111,Boston,MA,42.349838,-71.06101,2,"Boston, MA",FALSE
02129,Charlestown,MA,42.378619,-71.06495,3,"Charlestown, MA",FALSE
02155,Medford,MA,42.419846,-71.10942,4,"Medford, MA",FALSE
02176,Melrose,MA,42.459045,-71.06233,4,"Melrose, MA",FALSE
02186,Milton,MA,42.253074,-71.07496,2,"Milton, MA",FALSE
02421,Lexington,MA,42.439295,-71.23553,4,"Lexington, MA",FALSE
02481,Wellesley Hills,MA,42.313329,-71.27649,2,"Wellesley Hills, MA",FALSE
02492,Needham,MA,42.278247,-71.23388,5,"Needham, MA",FALSE
02740,New Bedford,MA,41.634754,-70.93752,4,"New Bedford, MA",FALSE
03031,Amherst,NH,42.854886,-71.6082,938,"Amherst, NH",FALSE
03032,Auburn,NH,43.000345,-71.35141,17,"Auburn, NH",FALSE
03033,Brookline,NH,42.742587,-71.66605,274,"Brookline, NH",FALSE
03034,Candia,NH,43.048372,-71.3078,6,"Candia, NH",FALSE
03036,Chester,NH,42.967823,-71.23453,8,"Chester, NH",FALSE
03037,Deerfield,NH,43.141746,-71.2488,9,"Deerfield, NH",FALSE
03038,Derry,NH,42.886486,-71.30019,122,"Derry, NH",FALSE
03042,Epping,NH,43.045076,-71.07095,9,"Epping, NH",FALSE
03043,Francestown,NH,42.976901,-71.81007,2,"Francestown, NH",FALSE
03044,Fremont,NH,42.986119,-71.12524,2,"Fremont, NH",FALSE
03045,Goffstown,NH,43.037495,-71.57023,60,"Goffstown, NH",FALSE
03047,Greenfield,NH,42.935709,-71.86645,12,"Greenfield, NH",FALSE
03048,Greenville,NH,42.747024,-71.77591,71,"Greenville, NH",FALSE
03049,Hollis,NH,42.739909,-71.58044,348,"Hollis, NH",FALSE
03051,Hudson,NH,42.759821,-71.42079,421,"Hudson, NH",FALSE
03052,Litchfield,NH,42.85059,-71.45379,291,"Litchfield, NH",FALSE
03053,Londonderry,NH,42.880481,-71.38205,291,"Londonderry, NH",FALSE
03054,Merrimack,NH,42.858053,-71.51216,9468,"Merrimack, NH",FALSE
03055,Milford,NH,42.831686,-71.66743,839,"Milford, NH",FALSE
03057,Mont Vernon,NH,42.899434,-71.68057,94,"Mont Vernon, NH",FALSE
03060,Nashua,NH,42.748888,-71.46492,736,"Nashua, NH",FALSE
03061,Nashua,NH,42.952124,-71.653939,2,"Nashua, NH",FALSE
03062,Nashua,NH,42.724822,-71.49238,863,"Nashua, NH",FALSE
03063,Nashua,NH,42.770738,-71.51047,933,"Nashua, NH",FALSE
03064,Nashua,NH,42.774171,-71.47306,914,"Nashua, NH",FALSE
03070,New Boston,NH,42.978267,-71.69414,30,"New Boston, NH",FALSE
03071,New Ipswich,NH,42.753726,-71.86706,17,"New Ipswich, NH",FALSE
03076,Pelham,NH,42.734182,-71.32359,24,"Pelham, NH",FALSE
03077,Raymond,NH,43.031491,-71.19598,10,"Raymond, NH",FALSE
03079,Salem,NH,42.792456,-71.21316,14,"Salem, NH",FALSE
03082,Lyndeborough,NH,42.902259,-71.78452,21,"Lyndeborough, NH",FALSE
03084,Temple,NH,42.81949,-71.85063,12,"Temple, NH",FALSE
03086,Wilton,NH,42.830184,-71.78177,127,"Wilton, NH",FALSE
03087,Windham,NH,42.805194,-71.29878,30,"Windham, NH",FALSE
03101,Manchester,NH,42.989984,-71.46376,22,"Manchester, NH",FALSE
03102,Manchester,NH,42.990684,-71.4868,108,"Manchester, NH",FALSE
03103,Manchester,NH,42.967684,-71.44828,279,"Manchester, NH",FALSE
03104,Manchester,NH,43.006033,-71.44716,116,"Manchester, NH",FALSE
03106,Hooksett,NH,43.058785,-71.44412,77,"Hooksett, NH",FALSE
03109,Manchester,NH,42.972584,-71.41349,91,"Manchester, NH",FALSE
03110,Bedford,NH,42.942551,-71.51993,1450,"Bedford, NH",FALSE
03225,Center Barnstead,NH,43.354005,-71.22819,2,"Center Barnstead, NH",FALSE
03229,Contoocook,NH,43.204192,-71.70711,2,"Contoocook, NH",FALSE
03234,Epsom,NH,43.228594,-71.3611,2,"Epsom, NH",FALSE
03242,Henniker,NH,43.173469,-71.81722,4,"Henniker, NH",FALSE
03244,Hillsboro,NH,43.119417,-71.92108,2,"Hillsboro, NH",FALSE
03246,Laconia,NH,43.557153,-71.43842,4,"Laconia, NH",FALSE
03253,Meredith,NH,43.644559,-71.50488,3,"Meredith, NH",FALSE
03257,New London,NH,43.418863,-72.00004,2,"New London, NH",FALSE
03258,Chichester,NH,43.255881,-71.397599,4,"Chichester, NH",FALSE
03268,Salisbury,NH,43.388571,-71.74199,5,"Salisbury, NH",FALSE
03275,Suncook,NH,43.152469,-71.43654,2,"Suncook, NH",FALSE
03281,Weare,NH,43.080986,-71.72329,21,"Weare, NH",FALSE
03301,Concord,NH,43.213705,-71.53774,9,"Concord, NH",FALSE
03303,Concord,NH,43.283796,-71.63832,19,"Concord, NH",FALSE
