State_Abbrev,Lat,Lon,State_Name,LA_Migration_2006_ACS,Census_Pop_2005,Migration_per_100K,Is_CTR
AL,32.318231,-86.902298,Alabama,10034.00,4557808.00,220,0
AK,63.588753,-154.493062,Alaska,332.00,663661.00,50,0
AZ,34.048928,-111.093731,Arizona,2609.00,5939292.00,44,0
AR,35.20105,-91.831833,Arkansas,8216.00,2779154.00,296,0
CA,36.778261,-119.417932,California,10561.00,36132147.00,29,0
CO,39.550051,-105.782067,Colorado,2246.00,4665177.00,48,0
CT,41.603221,-73.087749,Connecticut,269.00,3510297.00,8,0
DE,38.910832,-75.52767,Delaware,136.00,843524.00,16,0
DC,38.905985,-77.033418,District of Columbia,274.00,550521.00,50,0
FL,27.664827,-81.515754,Florida,15995.00,17789864.00,90,0
GA,32.157435,-82.907123,Georgia,19472.00,9072576.00,215,0
HI,19.898682,-155.665857,Hawaii,238.00,1275194.00,19,0
ID,44.068202,-114.742041,Idaho,93.00,1429096.00,7,0
IL,40.633125,-89.398528,Illinois,2956.00,12763371.00,23,0
IN,40.551217,-85.602364,Indiana,2506.00,6271973.00,40,0
IA,41.878003,-93.097702,Iowa,1299.00,2966334.00,44,0
KS,39.011902,-98.484246,Kansas,1425.00,2744687.00,52,0
KY,37.839333,-84.270018,Kentucky,982.00,4173405.00,24,0
LA,31.244823,-92.145024,Louisiana,0.00,4523628.00,0,1
ME,45.253783,-69.445469,Maine,314.00,1321505.00,24,0
MD,39.045755,-76.641271,Maryland,3975.00,5600388.00,71,0
MA,42.407211,-71.382437,Massachusetts,1564.00,6398743.00,24,0
MI,44.314844,-85.602364,Michigan,1784.00,10120860.00,18,0
MN,46.729553,-94.6859,Minnesota,2087.00,5132799.00,41,0
MS,32.354668,-89.398528,Mississippi,19184.00,2921088.00,657,0
MO,37.964253,-91.831833,Missouri,4589.00,5800310.00,79,0
MT,46.879682,-110.362566,Montana,203.00,935670.00,22,0
NE,41.492537,-99.901813,Nebraska,547.00,1758787.00,31,0
NV,38.80261,-116.419389,Nevada,1628.00,2414807.00,67,0
NH,43.193852,-71.572395,New Hampshire,689.00,1309940.00,53,0
NJ,40.058324,-74.405661,New Jersey,1044.00,8717925.00,12,0
NM,34.97273,-105.032363,New Mexico,870.00,1928384.00,45,0
NY,43.299428,-74.217933,New York,2555.00,19254630.00,13,0
NC,35.759573,-79.0193,North Carolina,5627.00,8683242.00,65,0
ND,47.551493,-101.002012,North Dakota,96.00,636677.00,15,0
OH,40.417287,-82.907123,Ohio,3807.00,11464042.00,33,0
OK,35.007752,-97.092877,Oklahoma,3122.00,3547884.00,88,0
OR,43.804133,-120.554201,Oregon,1697.00,3641056.00,47,0
PA,41.203322,-77.194525,Pennsylvania,1212.00,12429616.00,10,0
RI,41.580095,-71.477429,Rhode Island,327.00,1076189.00,30,0
SC,33.836081,-81.163725,South Carolina,2417.00,4255083.00,57,0
SD,43.969515,-99.901813,South Dakota,448.00,775933.00,58,0
TN,35.517491,-86.580447,Tennessee,7087.00,5962959.00,119,0
TX,31.968599,-99.901813,Texas,118552.00,22859968.00,519,0
UT,39.32098,-111.093731,Utah,1226.00,2469585.00,50,0
VT,44.558803,-72.577841,Vermont,0.00,623050.00,0,0
VA,37.431573,-78.656894,Virginia,6189.00,7567465.00,82,0
WA,47.751074,-120.740139,Washington,2785.00,6287759.00,44,0
WV,38.597626,-80.454903,West Virginia,429.00,1816856.00,24,0
WI,43.78444,-88.787868,Wisconsin,1301.00,5536201.00,23,0
WY,43.075968,-107.290284,Wyoming,432.00,509294.00,85,0
