Trips,isCTR,Kiosk Name,latitude,longitude
21,0,6th & Navasota St.,30.26383,-97.72864
13,0,8th & Guadalupe,30.27106,-97.74563
18,0,State Parking Garage @ Brazos & 18th,30.27907,-97.73715
8,0,Zilker Park West,30.26587,-97.76826
92,0,Lavaca & 6th,30.26889,-97.74525
66,0,Nueces @ 3rd,30.26694,-97.74939
559,0,2nd & Congress,30.26408,-97.74355
625,0,4th & Congress,30.26634,-97.74378
1785,0,8th & Congress,30.2698,-97.74186
637,0,Capitol Station / Congress & 11th,30.2726,-97.74127
1126,0,Convention Center / 4th St. @ MetroRail,30.26483,-97.739
1140,0,City Hall / Lavaca & 2nd,30.26476,-97.74678
13,0,Republic Square,30.26751,-97.74802
715,0,5th & Bowie,30.2696,-97.75332
315,0,Barton Springs & Riverside,30.2587,-97.74872
366,0,South Congress & James,30.25103,-97.74926
266,0,South Congress & Elizabeth,30.24891,-97.75019
148,0,Waller & 6th St.,30.26461,-97.73049
443,0,West & 6th St.,30.27041,-97.75046
509,0,Bullock Museum @ Congress & MLK,30.28039,-97.73809
207,0,Convention Center / 3rd & Trinity,30.26426,-97.74023
258,0,17th & Guadalupe,30.27974,-97.74254
145,0,State Capitol @ 14th & Colorado,30.27654,-97.74155
128,0,Plaza Saltillo,30.26217,-97.72743
49,0,East 6th & Pedernales St.,30.25895,-97.71475
54,0,ACC - Rio Grande & 12th,30.27595,-97.74739
103,0,ACC - West & 12th Street,30.27624,-97.74831
271,0,Guadalupe & 21st,30.28395,-97.74198
383,0,UT West Mall @ Guadalupe,30.28576,-97.74181
249,0,Long Center @ South 1st & Riverside,30.25941,-97.74971
202,0,Republic Square @ Guadalupe & 4th St.,30.26774,-97.74692
682,0,3rd & West,30.2678,-97.75189
166,0,State Capitol Visitors Garage @ San Jacinto & 12th,30.27336,-97.73805
140,0,San Jacinto & 8th Street,30.26912,-97.73986
297,0,Davis at Rainey Street,30.26019,-97.73845
66,0,5th & San Marcos,30.26416,-97.73289
191,0,Trinity & 6th Street,30.26735,-97.73933
289,0,Pfluger Bridge @ W 2nd Street,30.26717,-97.75484
151,0,Palmer Auditorium,30.25971,-97.75346
66,0,East 11th St. at Victory Grill,30.26896,-97.72843
184,0,East 11th St. & San Marcos,30.26968,-97.73074
294,0,South Congress & Academy,30.25226,-97.74854
239,0,Red River & 8th Street,30.26854,-97.73646
93,0,Barton Springs Pool,30.26452,-97.7712
90,0,Zilker Park,30.2659,-97.76822
226,0,Riverside @ S. Lamar,30.26446,-97.75665
28,0,Rainey @ River St,30.25802,-97.7391
298,0,Rainey St @ Cummings,30.25579,-97.73982
186,0,Barton Springs @ Kinney Ave,30.262,-97.76118
97,0,Toomey Rd @ South Lamar,30.26304,-97.75824
83,0,East 6th at Robert Martinez,30.26032,-97.71899
79,0,Capital Metro HQ - East 5th at Broadway,30.2563,-97.71007
88,0,11th & San Jacinto,30.27193,-97.73854
52,0,East 4th & Chicon,30.25987,-97.72373
27,0,East 2nd & Pedernales,30.25542,-97.71665
47,0,Lavaca & 6th,30.26911,-97.7462
72,0,MoPac Pedestrian Bridge @ Veterans Drive,30.27466,-97.77028
8,0,East 7th & Pleasant Valley,30.26025,-97.71002
111,0,Brazos & 6th,30.26754,-97.74154
69,0,Republic Square @ 5th & Guadalupe,30.26753,-97.74805
15,0,Pease Park,30.28118,-97.75219
90,0,South Congress & Barton Springs at the Austin American-Statesman,30.25839,-97.74592
198,0,6th & Congress,30.26822,-97.74285
183,0,Nueces & 3rd,30.26697,-97.74929
56,0,13th & San Antonio,30.27616,-97.74488
27,0,Medina & East 6th,30.26455,-97.73165
38,0,Congress & Cesar Chavez,30.26332,-97.74508
47,0,Henderson & 9th,30.27217,-97.75246
22,0,Sterzing at Barton Springs,30.26406,-97.76385
10,0,Boardwalk West,30.25457,-97.74258
1,0,Lake Austin Blvd @ Deep Eddy,30.27807,-97.77272
7,0,Lake Austin & Enfield,30.29439,-97.78375
30,0,22nd & Pearl,30.2853,-97.7467
15,0,Rio Grande & 28th,30.29333,-97.74412
21,0,Dean Keeton & Speedway,30.28953,-97.73695
4,0,Dean Keeton & Whitis,30.2898,-97.74041
38,0,21st & University,30.28354,-97.73953
85,0,21st & Speedway @PCL,30.283,-97.7375
12,0,23rd & San Jacinto @ DKR Stadium,30.2856,-97.7335
18,0,Nueces & 26th,30.29068,-97.74292
20,0,23rd & Rio Grande,30.28728,-97.74495
4,0,8th & Lavaca,30.27059,-97.74441
3,0,South Congress @ Bouldin Creek,30.25495,-97.74755
7,0,5th & Campbell,30.27489,-97.76483
3,0,10th & Red River,30.27024,-97.73578
3,0,Rosewood & Angelina,30.26888,-97.72431
5,0,11th & Salina,30.26638,-97.7214
2,0,6th & Chalmers,30.26269,-97.72438
4,0,Hollow Creek & Barton Hills,30.26139,-97.77234
2,0,Nash Hernandez @ RBJ South,30.25189,-97.73323
3,0,Red River/Cesar Chavez @ The Fairmont,30.26212,-97.73815
7,0,Lakeshore @ Austin Hostel,30.24472,-97.72336
2,0,Lakeshore & Pleasant Valley,30.24258,-97.71726
0,1,8th & Congress,30.2698,-97.74186
