airport,isDTW,lat,long,flightsDTW
ATL,0,33.6367,-84.428101,8
DEN,0,39.8616981506,-104.672996521,5
MSY,0,29.9934005737,-90.2580032349,5
DFW,0,32.896801,-97.038002,4
LGA,0,40.77719879,-73.87259674,4
ORD,0,41.9786,-87.9048,4
PHX,0,33.434299469,-112.0120010376,4
BWI,0,39.1754,-76.668297,3
CLT,0,35.2140007019,-80.9430999756,3
DCA,0,38.8521,-77.037697,3
IAH,0,29.9843997955,-95.3414001465,3
LAS,0,36.08010101,-115.1520004,3
MDW,0,41.785999,-87.752403,3
MIA,0,25.7931995392,-80.2906036377,3
PHL,0,39.8718986511,-75.2410964966,3
STL,0,38.748697,-90.370003,3
BNA,0,36.1245002747,-86.6781997681,2
BOS,0,42.36429977,-71.00520325,2
EWR,0,40.6925010681,-74.1687011719,2
FLL,0,26.072599,-80.152702,2
IAD,0,38.94449997,-77.45580292,2
LAX,0,33.94250107,-118.4079971,2
MCO,0,28.4293994904,-81.3089981079,2
MYR,0,33.6796989441,-78.9282989502,2
PDX,0,45.58869934,-122.5979996,2
RSW,0,26.5361995697,-81.7552032471,2
SAN,0,32.7336006165,-117.190002441,2
TPA,0,27.9755001068,-82.533203125,2
ABE,0,40.6520996094,-75.4408035278,1
ACY,0,39.4575996399,-74.5772018433,1
ALB,0,42.748298645,-73.8016967773,1
APN,0,45.0780983,-83.56030273,1
ATW,0,44.2580986023,-88.5190963745,1
AUS,0,30.1944999695,-97.6698989868,1
AVL,0,35.4361991882,-82.5418014526,1
AVP,0,41.3385009766,-75.7233963013,1
AZO,0,42.2349014282,-85.5521011353,1
BDL,0,41.9388999939,-72.6831970215,1
BGM,0,42.20869827,-75.97979736,1
BGR,0,44.8073997498,-68.8281021118,1
BHM,0,33.56290054,-86.75350189,1
BMI,0,40.47710037,-88.91590118,1
BTV,0,44.4719009399,-73.1532974243,1
BUF,0,42.94049835,-78.73220062,1
CAE,0,33.9388008118,-81.1194992065,1
CAK,0,40.9160995483,-81.442199707,1
CHA,0,35.0353012085,-85.2037963867,1
CHS,0,32.89860153,-80.04049683,1
CID,0,41.8847007751,-91.7108001709,1
CIU,0,46.2508010864,-84.4723968506,1
CLE,0,41.4117012024,-81.8498001099,1
CMH,0,39.998001,-82.891899,1
CRW,0,38.3731002808,-81.5932006836,1
CVG,0,39.0488014221,-84.6678009033,1
CWA,0,44.7775993347,-89.6668014526,1
DAY,0,39.9024009705,-84.2193984985,1
DSM,0,41.5340003967,-93.6631011963,1
ELM,0,42.1599006653,-76.8916015625,1
ERI,0,42.0831270134,-80.1738667488,1
ESC,0,45.7226982117,-87.0936965942,1
EVV,0,38.0369987488,-87.5324020386,1
FWA,0,40.97850037,-85.19509888,1
GRB,0,44.4850997925,-88.1296005249,1
GRR,0,42.88079834,-85.52279663,1
GSO,0,36.0978012085,-79.9373016357,1
GSP,0,34.8956985474,-82.2189025879,1
HPN,0,41.0670013428,-73.7076034546,1
HSV,0,34.6371994019,-86.775100708,1
ILG,0,39.67869949,-75.60649872,1
IND,0,39.7173,-86.294403,1
ITH,0,42.4910011292,-76.4583969116,1
JAX,0,30.4941005707,-81.6878967285,1
JFK,0,40.63980103,-73.77890015,1
LAN,0,42.7787017822,-84.5874023438,1
LEX,0,38.0364990234,-84.6059036255,1
LIT,0,34.7294006348,-92.2242965698,1
MBS,0,43.5329017639,-84.0795974731,1
MCI,0,39.2976,-94.713898,1
MDT,0,40.1935005188,-76.7633972168,1
MEM,0,35.0424003601,-89.9766998291,1
MHT,0,42.932598,-71.435699,1
MKE,0,42.9472007751,-87.8965988159,1
MLI,0,41.4485015869,-90.5074996948,1
MQT,0,46.3535995483,-87.395401001,1
MSN,0,43.1399002075,-89.3375015259,1
MSP,0,44.882,-93.221802,1
OKC,0,35.3931007385,-97.6007003784,1
OMA,0,41.3032,-95.894096,1
ORF,0,36.8945999146,-76.2012023926,1
PBI,0,26.6832008362,-80.0955963135,1
PIA,0,40.6641998291,-89.6932983398,1
PIT,0,40.49150085,-80.23290253,1
PLN,0,45.57089996,-84.79669952,1
PVD,0,41.7326011658,-71.4204025269,1
RDU,0,35.8776016235,-78.7874984741,1
RIC,0,37.5051994324,-77.3197021484,1
ROA,0,37.3255,-79.975403,1
ROC,0,43.1189002991,-77.6724014282,1
SAT,0,29.533700943,-98.4698028564,1
SAV,0,32.12760162,-81.20210266,1
SBN,0,41.7086982727,-86.3172988892,1
SCE,0,40.8493003845,-77.8487014771,1
SDF,0,38.1744,-85.736,1
SEA,0,47.449001,-122.308998,1
SFO,0,37.6189994812,-122.375,1
SLC,0,40.7883987427,-111.9779968262,1
SWF,0,41.5041007996,-74.1047973633,1
SYR,0,43.1111984253,-76.106300354,1
TTN,0,40.2766990662,-74.8134994507,1
TUL,0,36.1983985901,-95.8880996704,1
TVC,0,44.7414016724,-85.5821990967,1
TYS,0,35.81100082,-83.9940033,1
XNA,0,36.281898,-94.306801,1
ABI,0,32.4113006592,-99.6819000244,0
ABL,0,67.1063,-157.856989,0
ABQ,0,35.040199,-106.609001,0
ABR,0,45.4491004944,-98.4217987061,0
ABY,0,31.5354995728,-84.1945037842,0
ACK,0,41.25310135,-70.06020355,0
ACT,0,31.6112995148,-97.2304992676,0
ACV,0,40.978101,-124.109,0
ADK,0,51.8779983521,-176.6459960938,0
ADQ,0,57.75,-152.4940033,0
AET,0,66.5518035889,-152.621994019,0
AEX,0,31.3274002075,-92.5497970581,0
AGN,0,57.503601,-134.585007,0
AGS,0,33.3698997498,-81.9645004272,0
AHN,0,33.948600769,-83.3263015747,0
AIA,0,42.0531997681,-102.804000854,0
AIN,0,70.6380004883,-159.994995117,0
AKB,0,52.22029877,-174.2059937,0
AKI,0,60.9029006958,-161.231002808,0
AKK,0,56.9387016296,-154.182998657,0
AKN,0,58.67679977,-156.6490021,0
AKP,0,68.13359833,-151.7429962,0
ALO,0,42.5570983887,-92.4002990723,0
ALS,0,37.434898,-105.866997,0
ALW,0,46.09489822,-118.288002,0
AMA,0,35.219398,-101.706001,0
ANC,0,61.1744003296,-149.9960021973,0
ANI,0,61.5816001892,-159.5429992676,0
ANV,0,62.646702,-160.190994,0
AOO,0,40.29639816,-78.31999969,0
APF,0,26.1525993347,-81.7752990723,0
ARC,0,68.1147,-145.578995,0
ART,0,43.9919013977,-76.021697998,0
ASE,0,39.22320175,-106.8690033,0
ATK,0,70.467300415,-157.4360046387,0
ATY,0,44.91400146,-97.15470123,0
AUG,0,44.3205986023,-69.7973022461,0
AUK,0,62.6800422668,-164.659927368,0
AZA,0,33.30780029,-111.6549988,0
BET,0,60.77980042,-161.8379974,0
BFD,0,41.8031005859,-78.6400985718,0
BFF,0,41.87400055,-103.5960007,0
BFI,0,47.5299987793,-122.3020019531,0
BFL,0,35.43360138,-119.0569992,0
BHB,0,44.45000076,-68.3615036,0
BIL,0,45.8077011108,-108.5429992676,0
BIS,0,46.7727012634,-100.7460021973,0
BJI,0,47.50939941,-94.93370056,0
BKC,0,65.9815979004,-161.149002075,0
BKW,0,37.7873001099,-81.1241989136,0
BLI,0,48.7928009033,-122.5380020142,0
BLV,0,38.5452,-89.835197,0
BOI,0,43.5644,-116.223,0
BPT,0,29.950799942,-94.0206985474,0
BQK,0,31.2588005066,-81.4664993286,0
BRD,0,46.39830017,-94.13809967,0
BRL,0,40.7831993103,-91.12550354,0
BRO,0,25.9067993164,-97.4259033203,0
BRW,0,71.285402,-156.766008,0
BTI,0,70.1340026855,-143.582000732,0
BTM,0,45.9547996521,-112.497001648,0
BTR,0,30.533199,-91.149597,0
BTT,0,66.91390228,-151.529007,0
BUR,0,34.2006988525,-118.3590011597,0
BZN,0,45.77750015,-111.1529999,0
CDB,0,55.2061004639,-162.7250061035,0
CDC,0,37.7010002136,-113.0989990234,0
CDR,0,42.837600708,-103.095001221,0
CDV,0,60.4917984,-145.4779968,0
CEC,0,41.78020096,-124.2369995,0
CEM,0,65.57379913,-144.7830048,0
CEZ,0,37.3030014038,-108.627998352,0
CGI,0,37.2252998352,-89.5708007813,0
CHO,0,38.1385993958,-78.4529037476,0
CIC,0,39.79539871,-121.8580017,0
CIK,0,66.6449966431,-143.740005493,0
CKB,0,39.2966003418,-80.2281036377,0
CLD,0,33.12829971,-117.2799988,0
CLL,0,30.58860016,-96.36380005,0
CLM,0,48.1202011108,-123.5,0
CMI,0,40.03919983,-88.27809906,0
CMX,0,47.1683998108,-88.4890975952,0
CNM,0,32.3375015259,-104.2630004883,0
