Trips_From,Trips_To,isCTR,Kiosk.ID,Kiosk.Name,latitude,longitude
21,35,0,1002,6th & Navasota St.,30.26383,-97.72864
13,9,0,1003,8th & Guadalupe,30.27106,-97.74563
18,9,0,1005,State Parking Garage @ Brazos & 18th,30.27907,-97.73715
8,12,0,1006,Zilker Park West,30.26587,-97.76826
92,58,0,1007,Lavaca & 6th,30.26889,-97.74525
66,94,0,1008,Nueces @ 3rd,30.26694,-97.74939
559,520,0,2494,2nd & Congress,30.26408,-97.74355
625,590,0,2495,4th & Congress,30.26634,-97.74378
1785,1785,1,2496,8th & Congress,30.2698,-97.74186
637,662,0,2497,Capitol Station / Congress & 11th,30.2726,-97.74127
1126,966,0,2498,Convention Center / 4th St. @ MetroRail,30.26483,-97.739
1140,1012,0,2499,City Hall / Lavaca & 2nd,30.26476,-97.74678
13,10,0,2500,Republic Square,30.26751,-97.74802
715,874,0,2501,5th & Bowie,30.2696,-97.75332
315,290,0,2502,Barton Springs & Riverside,30.2587,-97.74872
366,523,0,2503,South Congress & James,30.25103,-97.74926
266,418,0,2504,South Congress & Elizabeth,30.24891,-97.75019
148,188,0,2536,Waller & 6th St.,30.26461,-97.73049
443,391,0,2537,West & 6th St.,30.27041,-97.75046
509,529,0,2538,Bullock Museum @ Congress & MLK,30.28039,-97.73809
207,201,0,2539,Convention Center / 3rd & Trinity,30.26426,-97.74023
258,272,0,2540,17th & Guadalupe,30.27974,-97.74254
145,117,0,2541,State Capitol @ 14th & Colorado,30.27654,-97.74155
128,140,0,2542,Plaza Saltillo,30.26217,-97.72743
49,53,0,2544,East 6th & Pedernales St.,30.25895,-97.71475
54,79,0,2545,ACC - Rio Grande & 12th,30.27595,-97.74739
103,31,0,2546,ACC - West & 12th Street,30.27624,-97.74831
271,208,0,2547,Guadalupe & 21st,30.28395,-97.74198
383,328,0,2548,UT West Mall @ Guadalupe,30.28576,-97.74181
249,367,0,2549,Long Center @ South 1st & Riverside,30.25941,-97.74971
202,169,0,2550,Republic Square @ Guadalupe & 4th St.,30.26774,-97.74692
682,573,0,2552,3rd & West,30.2678,-97.75189
166,138,0,2561,State Capitol Visitors Garage @ San Jacinto & 12th,30.27336,-97.73805
140,139,0,2562,San Jacinto & 8th Street,30.26912,-97.73986
297,450,0,2563,Davis at Rainey Street,30.26019,-97.73845
66,74,0,2564,5th & San Marcos,30.26416,-97.73289
191,164,0,2565,Trinity & 6th Street,30.26735,-97.73933
289,363,0,2566,Pfluger Bridge @ W 2nd Street,30.26717,-97.75484
151,219,0,2567,Palmer Auditorium,30.25971,-97.75346
66,109,0,2568,East 11th St. at Victory Grill,30.26896,-97.72843
184,251,0,2569,East 11th St. & San Marcos,30.26968,-97.73074
294,502,0,2570,South Congress & Academy,30.25226,-97.74854
239,237,0,2571,Red River & 8th Street,30.26854,-97.73646
93,110,0,2572,Barton Springs Pool,30.26452,-97.7712
90,88,0,2574,Zilker Park,30.2659,-97.76822
226,271,0,2575,Riverside @ S. Lamar,30.26446,-97.75665
28,64,0,2576,Rainey @ River St,30.25802,-97.7391
298,383,0,2707,Rainey St @ Cummings,30.25579,-97.73982
186,177,0,2711,Barton Springs @ Kinney Ave,30.262,-97.76118
97,62,0,2712,Toomey Rd @ South Lamar,30.26304,-97.75824
83,252,0,2822,East 6th at Robert Martinez,30.26032,-97.71899
79,21,0,2823,Capital Metro HQ - East 5th at Broadway,30.2563,-97.71007
88,136,0,3291,11th & San Jacinto,30.27193,-97.73854
52,45,0,3292,East 4th & Chicon,30.25987,-97.72373
27,22,0,3293,East 2nd & Pedernales,30.25542,-97.71665
47,25,0,3294,Lavaca & 6th,30.26911,-97.7462
72,52,0,3377,MoPac Pedestrian Bridge @ Veterans Drive,30.27466,-97.77028
8,3,0,3381,East 7th & Pleasant Valley,30.26025,-97.71002
111,74,0,3390,Brazos & 6th,30.26754,-97.74154
69,67,0,3455,Republic Square @ 5th & Guadalupe,30.26753,-97.74805
15,12,0,3464,Pease Park,30.28118,-97.75219
90,157,0,3513,South Congress & Barton Springs at the Austin American-Statesman,30.25839,-97.74592
198,68,0,3619,6th & Congress,30.26822,-97.74285
183,99,0,3621,Nueces & 3rd,30.26697,-97.74929
56,56,0,3635,13th & San Antonio,30.27616,-97.74488
27,53,0,3660,Medina & East 6th,30.26455,-97.73165
38,22,0,3684,Congress & Cesar Chavez,30.26332,-97.74508
47,35,0,3685,Henderson & 9th,30.27217,-97.75246
22,20,0,3686,Sterzing at Barton Springs,30.26406,-97.76385
10,17,0,3687,Boardwalk West,30.25457,-97.74258
1,2,0,3790,Lake Austin Blvd @ Deep Eddy,30.27807,-97.77272
7,1,0,3791,Lake Austin & Enfield,30.29439,-97.78375
30,20,0,3792,22nd & Pearl,30.2853,-97.7467
15,14,0,3793,Rio Grande & 28th,30.29333,-97.74412
21,27,0,3794,Dean Keeton & Speedway,30.28953,-97.73695
4,8,0,3795,Dean Keeton & Whitis,30.2898,-97.74041
38,43,0,3797,21st & University,30.28354,-97.73953
85,109,0,3798,21st & Speedway @PCL,30.283,-97.7375
12,36,0,3799,23rd & San Jacinto @ DKR Stadium,30.2856,-97.7335
18,12,0,3838,Nueces & 26th,30.29068,-97.74292
20,21,0,3841,23rd & Rio Grande,30.28728,-97.74495
4,7,0,4047,8th & Lavaca,30.27059,-97.74441
3,3,0,4048,South Congress @ Bouldin Creek,30.25495,-97.74755
7,4,0,4050,5th & Campbell,30.27489,-97.76483
3,2,0,4051,10th & Red River,30.27024,-97.73578
3,3,0,4052,Rosewood & Angelina,30.26888,-97.72431
5,3,0,4055,11th & Salina,30.26638,-97.7214
2,7,0,4057,6th & Chalmers,30.26269,-97.72438
4,,0,4058,Hollow Creek & Barton Hills,30.26139,-97.77234
2,2,0,4059,Nash Hernandez @ RBJ South,30.25189,-97.73323
3,2,0,4060,Red River/Cesar Chavez @ The Fairmont,30.26212,-97.73815
7,8,0,4061,Lakeshore @ Austin Hostel,30.24472,-97.72336
2,2,0,4062,Lakeshore & Pleasant Valley,30.24258,-97.71726
