valName,val,2010pop,visitsper1000,lat,lon,ctrBin,distance,ctrPtMathbearing,valTrans,circcoords,logcoords,num,sqrtcoords
"Merrimack, NH",9468,"25,494",371.38,42.8650864,-71.4934004,FALSE,1.797063336,87.07830213,10.15567297,0.091598386,0.029876936,1,0.068329168
"Amherst, NH",938,"11,201",83.74,42.8642874,-71.6252484,FALSE,10.78450057,170.8862138,7.843749949,-10.64835405,-2.348088053,4,-3.242518509
"Bedford, NH",1450,"21,203",68.39,42.9464737,-71.5159015,FALSE,10.97735042,99.14781015,8.279318835,-1.745200621,-0.380894387,3,-0.526740359
"Milford, NH",839,"15,115",55.51,42.8353641,-71.6489604,FALSE,12.67321875,186.7569184,7.732210706,-12.58519383,-2.521852355,5,-3.53521998
"Brookline, NH",274,"4,991",54.90,42.7348102,-71.6581267,FALSE,18.40652036,223.3894069,6.613128106,-13.37604947,-2.116667626,11,-3.117755244
"Hollis, NH",348,"7,684",45.29,42.7431621,-71.591333,FALSE,14.1582552,235.9851827,6.85220248,-7.920231063,-1.482595923,8,-2.104907345
"Nashua, NH",3448,"86,494",39.86,42.7653662,-71.467566,FALSE,9.542620865,283.369084,9.145549632,2.206473166,0.521585423,2,0.714273957
"Mont Vernon, NH",94,"2,409",39.02,42.8945294,-71.6742394,FALSE,15.48792466,160.9085701,5.543294782,-14.63605544,-2.589351427,15,-3.719010737
"Litchfield, NH",291,"8,271",35.18,42.8442536,-71.4797889,FALSE,1.308115337,336.6479673,6.673323267,1.200963412,0.246586569,9,1.050042211
"Wilton, NH",127,"3,677",34.54,42.843419,-71.7350741,FALSE,19.60772271,181.7031019,5.844187086,-19.59906104,-2.974608898,12,-4.426104745
"Greenville, NH",71,"2,105",33.73,42.7673087,-71.8122977,FALSE,27.44756681,199.1240318,5.262679877,-25.93277904,-3.129478169,17,-4.949908081
"Dunstable, MA",62,"3,179",19.50,42.6750898,-71.4828433,FALSE,19.34115627,272.8375777,5.127134385,0.957480669,0.146644956,18,0.217715224
"Hudson, NH",421,"24,467",17.21,42.7654433,-71.4397167,FALSE,10.29732679,295.8137635,7.042632834,4.483943772,1.015412875,7,1.397326547
"Londonderry, NH",291,"24,129",12.06,42.8650869,-71.3739532,FALSE,9.983730646,10.36093396,6.673323267,9.820939186,2.26343818,10,3.108183095
"Pepperell, MA",106,"11,497",9.22,42.6659227,-71.5884018,FALSE,21.73096536,249.260894,5.663439094,-7.695222294,-1.090221929,14,-1.650751347
"Hooksett, NH",77,"13,451",5.72,43.096972,-71.465378,FALSE,27.66353112,85.07877092,5.343805422,2.373145907,0.284819651,16,0.451201602
"Manchester, NH",616,"109,565",5.62,42.9956397,-71.4547891,FALSE,16.61932304,78.7565508,7.423246964,3.240405436,0.547999068,6,0.794863743
"Derry, NH",122,"33,109",3.68,42.8808677,-71.3264492,FALSE,14.14127375,14.5390352,5.804021045,13.68842539,2.56426524,13,3.64006575
"Goffstown, NH",60,"17,651",3.40,43.0203609,-71.600349,FALSE,20.9041407,114.3633137,5.094344562,-8.623402003,-1.254042807,19,-1.88609026
