User_Photos,Review_Funny,Review_Date,User_Image_Link,User_Profile_Link,User_Neighborhood,User_City,User_State,User_Country,Review_Rating,User_Friends,Review_Useful,User_Reviews,Review_Type,Review_Contents,User_Name,Review_Cool,User_2021_Elite,ObjectId,Is_CTR,Lon,Lat
790,0,12/5/10,https://s3-media0.fl.yelpcdn.com/photo/JW9dLULHiQGuFhon8dUlrA/60s.jpg,https://yelp.com/user_details?userid=LEGudhGQU2sBvpyltEov1g,,Honolulu,HI,United States,4,388,0,1027,Recommended,I had seen this on Triple D, and wrote it off since it was so far away. But Living Social had a deal, so I definitely go it and went this Friday with my friends. It's an easy walk from Tenleytown, but when its 20 degrees outside,1,0,-157.85788,21.30493
17,0,2/2/10,https://s3-media0.fl.yelpcdn.com/photo/rLmX0ZsGcMvXbVpLQzStCQ/60s.jpg,https://yelp.com/user_details?userid=SX85FENHuUJa-l3SPSsPog,,Washington,DC,United States,4,106,0,201,Recommended,Considering that you could probably hit one of their ping-pong balls into Maryland from where this place is, it's not bad. Comet Ping Pong has everything your heart could desire, as long as your heart desires pizza, free ping-pong,2,0,-77.03196,38.89037
0,0,7/29/13,https://s3-media0.fl.yelpcdn.com/photo/p50t1cymHoFhxF3q9lSM7Q/60s.jpg,https://yelp.com/user_details?userid=PTOFthJu8W8MoKP6mIxRbg,,Cologne,,Germany,4,4,0,25,Recommended,While you may have to wait a little for the ping pong table... it is PRETTY awesome that this place has ping pong tables! ¥Ë_¥Ë_The pizzas are pretty yummy and the atmosphere is a mixture of 20somethings and families. ¥Ë_¥Ë_Definitely a place to check out if you're looking for something different or a break from the norm. ¥Ë_¥Ë_The only sad thing is that it is too far to the metro and the unreliable L2 is your only hope if you don't have a car.,Jenipher C.,0,No,3,0,6.95516,50.94167
0,0,5/8/11,https://s3-media0.fl.yelpcdn.com/photo/ZZ8thBriVBVuNVp-HamvmA/60s.jpg,https://yelp.com/user_details?userid=474rz_cWLQ0QvdIO0KyGaQ,,Washington,DC,United States,3,8,0,129,Recommended,I want to love Comet Ping Pong: local, homemade, seasonal. I want to love it, but I only like it. I had the Yalie and the hubby had the hottie. Both were good,4,0,-77.03196,38.89037
6,0,1/22/11,https://s3-media0.fl.yelpcdn.com/photo/6lc6QgZMQdWAhfih_vQjzQ/60s.jpg,https://yelp.com/user_details?userid=V3Bh57myaAjvqMjog3vjCg,,Rockville,MD,United States,4,30,0,206,Recommended,"My wife and I decided to try this place after the happy conjunction of an episode of """"""""Diners", Drive-Ins," and Dives"""""""" on Food Network and a Living Social deal. ¥Ë_¥Ë_We got lucky and didn't have to wait for a table.It's great gourmet pizza", right up their with Two Amys. ¥Ë_¥Ë_My wife had the Yalie,5,0,-77.15118,39.08196
15,0,3/13/11,https://s3-media0.fl.yelpcdn.com/photo/VRrJZsCO5ZwMd-H7Q0EdXA/60s.jpg,https://yelp.com/user_details?userid=AVHntMBUO4dehOXjWQ2nBA,,Washington,DC,United States,3,58,0,476,Recommended,I like comet. I don't love the food, but it's ok. It can take forever to get served and it is too expensive for what it is. It can get crowded at times as well. Truth is, none of those things matter. Mostly Comet, is just a fun quirky place and I'm glad that it exists. It's also down the street from the best bookstore in DC,6,0,-77.03196,38.89037
0,0,2/24/08,https://s3-media0.fl.yelpcdn.com/photo/OEDqeAHbV2wPcHnCrLU2fw/60s.jpg,https://yelp.com/user_details?userid=a0rLVMxJlilRuLVFdWfW-Q,,Arlington,VA,United States,3,6,0,71,Recommended,The novelty of Comet is kind of cool. Where else in DC is there a restaurant/bar/ping pong playground? I really wasn't a fan of the pizza though. They were okay but small and pricy. ¥Ë_¥Ë_The ping pong area is fun," but be prepared to wait for a table.""""",linda d.,0,7,0,-77.08629,38.8905
4,0,2/6/10,https://s3-media0.fl.yelpcdn.com/photo/3a6zVx7RZkNr3rsnb_fchg/60s.jpg,https://yelp.com/user_details?userid=vUMMh9iB_fpbs31hxTdkOQ,,Charlotte,VT,United States,4,27,0,379,Recommended,...still not 2 Amy's.But then again, 2 Amy's doesn't have PING PONG or (hilite of nite) murals in the bathroom depciting cherubs playing pong and/or eating pizza. ¥Ë_¥Ë_That's enough, right there, for a half-star bump up.I'll judge the pizza definately better than Matchbox,8,0,-73.24817,44.31123
9,0,1/24/11,https://s3-media0.fl.yelpcdn.com/photo/RybVCtEq33Q-BTuXqJWxsA/60s.jpg,https://yelp.com/user_details?userid=KnQqPHcA5cvpdMoB1WqyDA,,Columbus,OH,United States,4,2,0,94,Recommended,I went to Comet this weekend and thoroughly enjoyed it. ¥Ë_¥Ë_This pizza was EXCELLENT! ¥Ë_¥Ë_I haven't been to the 2 Amy's but Mia's pizza in Bethesda is in the same league as Comet. ¥Ë_¥Ë_My cousin and I were there Sunday," we were immediately seated. ¥Ë_¥Ë_Our pizza came in about 15 minutes. ¥Ë_¥Ë_The only problem I had was with the server. ¥Ë_¥Ë_We had to hunt him down after he brought the drinks and the pizza.Obviously the decor leaves much to be desired. ¥Ë_¥Ë_But I would definitely go back there again and my cousin said he will definitely return with his friends.""""",Michele W.,0,9,0,-83.00275,39.96199
9,0,2/21/11,https://s3-media0.fl.yelpcdn.com/photo/VgZ-I1KNr76GzeLryfxsvQ/60s.jpg,https://yelp.com/user_details?userid=e2om_0gpLDS6RSwmiZCWoA,,Los Angeles,CA,United States,4,7,0,173,Recommended,You can read all the other reviews for details about the space - it's pretty cool. Ping pong tables are awesome. Beer selection is terrific. Food is outstanding. Even the arugula salad was great. Hard to mess that up, you might be thinking. Wrong! You can. Too much dressing, too little dressing, bad dressing,10,0,-118.2455,34.05361
