long,lat,name,IND_remit,name_long,isCTR
54.2067147616,23.8686336533,ARE,13823,United Arab Emirates,0
-98.583333,39.833333,USA,11715,United States,0
44.5163637683,24.1232898391,SAU,11239,Saudi Arabia,0
47.6000988876,29.307266634,KWT,4587,Kuwait,0
51.1835025789,25.3218509742,QAT,4143,Qatar,0
-2.8531353952,53.9147734805,GBR,3941,United Kingdom,0
56.09867282,20.6111743742,OMN,3250,Oman,0
84.0131736769,28.239440019,NPL,3016,Nepal,0
-98.1423813721,61.4690761453,CAN,2877,Canada,0
134.5027754754,-25.7306547797,AUS,1944,Australia,0
50.583333,26.216667,BHR,1336,Bahrain,0
80.6672357493,7.7005344172,LKA,1265,Sri Lanka,0
103.833333,1.283333,SGP,886,Singapore,0
12.1407883722,42.751183053,ITA,612,Italy,0
172.7019259441,-41.6625787572,NZL,341,New Zealand,0
10.2884850927,51.1337226904,DEU,332,Germany,0
109.6981484486,3.7255884258,MYS,287,Malaysia,0
-2.8805991914,42.4577181048,FRA,251,France,0
101.0061335463,15.0169749914,THA,197,Thailand,0
25.0480138799,-28.94703326,ZAF,188,South Africa,0
90.4724248062,27.4279686491,BTN,186,Bhutan,0
-3.6170206024,40.3486561062,ESP,183,Spain,0
34.7529881315,-6.2577327208,TZA,153,Tanzania,0
96.5058409421,21.0169998738,MMR,138,Myanmar,0
90.2679282772,23.8394617953,BGD,126,Bangladesh,0
138.0649621327,37.6631108117,JPN,116,Japan,0
16.5962658468,62.8114849681,SWE,112,Sweden,0
8.1183006134,46.7917376837,CHE,110,Switzerland,0
5.512217101,52.2987003744,NLD,110,Netherlands,0
-8.0102365449,53.18059121,IRL,100,Ireland,0
35.0038500487,31.484917815,ISR,98,Israel,0
37.7915552867,0.5959662522,KEN,86,Kenya,0
73.508889,4.175278,MDV,81,Maldives,0
4.5808315907,50.6524426065,BEL,77,Belgium,0
14.0761588843,47.6139487927,AUT,72,Austria,0
103.8836162892,36.5550685352,CHN,64,China,0
15.4681261227,69.1568563971,NOR,64,Norway,0
114.9151087739,4.6902505425,BRN,59,Brunei Darussalam,0
9.8763729377,56.0639344618,DNK,51,Denmark,0
22.7198134471,39.0667158997,GRC,43,Greece,0
57.516667,-20.166667,MUS,43,Mauritius,0
117.4234075623,-2.2217379365,IDN,42,Indonesia,0
122.9026723699,11.7637993623,PHL,42,Philippines,0
-8.0557655883,39.634049775,PRT,39,Portugal,0
23.7730814658,-22.0997113788,BWA,37,Botswana,0
127.8213171283,36.4275986042,KOR,30,"Korea, Rep.",0
55.45,-4.616667,SYC,29,Seychelles,0
26.2117646974,64.5040939186,FIN,26,Finland,0
96.875223256,61.9808407507,RUS,25,Russian Federation,0
36.7794549063,31.2454905847,JOR,20,Jordan,0
17.9743527792,26.997460407,LBY,20,Libya,0
-80.1091648355,8.5300193889,PAN,17,Panama,0
33.039553803,34.9070608509,CYP,16,Cyprus,0
46.6911709147,-19.3561140778,MDG,16,Madagascar,0
32.3575481537,1.2954869631,UGA,16,Uganda,0
15.3345581024,49.7752452944,CZE,12,Czech Republic,0
163.8531646446,-17.3163094264,FJI,9,Fiji,0
35.4726171541,-17.2304465978,MOZ,9,Mozambique,0
34.1936053256,-13.1728327167,MWI,9,Malawi,0
-65.1753607711,-35.4468214895,ARG,8,Argentina,0
29.8444615131,26.5066199997,EGY,8,"Egypt, Arab Rep.",0
35.87098632,33.9118272078,LBN,8,Lebanon,0
-77.3242548016,18.1376361279,JAM,7,Jamaica,0
27.72759194,-13.3950675201,ZMB,7,Zambia,0
19.3576286277,47.199951172,HUN,6,Hungary,0
106.2858407971,16.6579377533,VNM,6,Vietnam,0
2.5980477916,28.1854812787,DZA,5,Algeria,0
29.8626040123,15.9905850031,SDN,5,Sudan,0
30.1986175823,7.2928897148,SDS,5,South Sudan,0
31.3695330804,48.9730179682,UKR,5,Ukraine,0
-53.0543400358,-10.8067736435,BRA,4,Brazil,0
-1.2369685557,7.9286518131,GHA,4,Ghana,0
-102.576349524,23.9353719022,MEX,4,Mexico,0
19.3110143084,52.1482602193,POL,4,Poland,0
120.9748007375,23.7409649798,TWN,4,Turkey,0
-71.5206439452,-39.0470143099,CHL,3,Chile,0
-9.4108361544,6.4316198623,LBR,3,Liberia,0
29.9139008931,-3.3773918124,BDI,2,"Bahamas, The",0
