fid,OBJECTID,ParcelID,TaxYear,Address,AddrNumber,AddrPreDir,AddrStreet,AddrSuffix,AddrPosDir,AddrUntTyp,AddrUnit,Owner,OwnerAddr1,OwnerAddr2,TaxDist,TotAssess,LandAssess,ImprAssess,TotAppr,LandAppr,ImprAppr,LUCode,ClassCode,ExCode,LivUnits,LandAcres,NbrHood,Subdiv,SubdivNum,SubdivLot,SubdivBlck,FeatureID,Shape__Are,Shape__Len,__owner_un,__addr_uni,__owner_co,__addr_cou,__Owner,__OwnerAdd,__OwnerA_1
"1","851",22 450412740012,"2020",275 GREENMONT CIR,"275",,GREENMONT,CIR,,,,IH5 PROPERTY GEORGIA L P,10 GLENLAKE PKWY SUITE 400,ATLANTA GA 30328,"10","128800","26400","102400","322000","66000","256000","101",R3,,"1",0.2183,"2204",,,,,22 450412740012,9667.01977539063,387.852187657403,,,863,17,INVITATION HOMES,10 GLENLAKE PKWY SUITE 400,ATLANTA GA 30328
"2","1296",22 464411270269,"2020",515 WEATHERSTONE CT,"515",,WEATHERSTONE,CT,,,,2018 4 IH BORROWER LP,1717 MAIN ST STE 2000,DALLAS TX 75201,"10","151560","28280","123280","378900","70700","308200","101",R3,,"1",0.3136,"2210",,,,,22 464411270269,13888.5751953125,460.220241185132,,,863,287,INVITATION HOMES,1717 MAIN ST STE 2000,DALLAS TX 75201
"3","1396",22 465211990097,"2020",215 MAYFIELD CIR,"215",,MAYFIELD,CIR,,,,SWH 2017 1 BORROWER LP,8665 E HARTFORD DR STE 200,SCOTTSDALE AZ 85255,"10","149280","35920","113360","373200","89800","283400","101",R3,,"1",0.6856,"2402",,,,,22 465211990097,29975.8452148438,693.32249223739,,,863,80,INVITATION HOMES,8665 E HARTFORD DR STE 200,SCOTTSDALE AZ 85255
"4","1464",22 466112500670,"2020",315 HERITAGE LN,"315",,HERITAGE,LN,,,,SWH 2017 1 BORROWER LP,8665 E HARTFORD DR STE 200,SCOTTSDALE AZ 85255,"10","113840","23400","90440","284600","58500","226100","101",R3,,"1",0.3432,"2402",,,,,22 466112500670,17286.7607421875,546.183954618229,,,863,80,INVITATION HOMES,8665 E HARTFORD DR STE 200,SCOTTSDALE AZ 85255
"5","1741",22 468002620675,"2020",710 SABLE POINTE RD,"710",,SABLE POINTE,RD,,,,2014 3 IH BORROWER L P,901 MAIN ST SUITE 4700,DALLAS TX 75202,"56","107640","32200","75440","269100","80500","188600","101",R3,,"1",1.02,"2287",,,,,22 468002620675,45651.7360839844,880.244676754687,,,863,113,INVITATION HOMES,901 MAIN ST SUITE 4700,DALLAS TX 75202
"6","2617",22 482112510064,"2020",171 UPSHAW DR,"171",,UPSHAW,DR,,,,SRP SUB LLC,8665 E HARTFORD SUITE 200,SCOTTSDALE AZ 85255,"10","114320","33520","80800","285800","83800","202000","101",R3,,"1",0.5716,"2402",,,,,22 482112510064,26511.228515625,711.026405966073,,,863,32,INVITATION HOMES,8665 E HARTFORD SUITE 200,SCOTTSDALE AZ 85255
"7","2971",22 485003181069,"2020",0 SABLEWOOD DR,"0",,SABLEWOOD,DR,,,,D R HORTON INC TORREY,5400 HIGHLANDS PKWY SE,SMYRNA GA 30082,"56","80","80","0","200","200","0","100",R4,,"0",2.02,"2287",,,,,22 485003181069,88197.791015625,2245.43945844468,,,484,2,D R HORTON INC,5400 HIGHLANDS PKWY SE,SMYRNA GA 30082
"8","3021",22 487004620699,"2020",510 KINGS COUNTY CT,"510",,KINGS COUNTY,CT,,,,2018 4 IH BORROWER LP,1717 MAIN ST STE 2000,DALLAS TX 75201,"56","188720","64680","124040","471800","161700","310100","101",R3,,"1",1.0033,"2283",,,,,22 487004620699,41178.4379882813,816.337912351715,,,863,287,INVITATION HOMES,1717 MAIN ST STE 2000,DALLAS TX 75201
"9","3560",22 496011231150,"2020",1235 WINTHROPE CHASE DR,"1235",,WINTHROPE CHASE,DR,,,,2015 3 IH2 BORROWER LP,901 MAIN ST SUITE 4700,DALLAS TX 75202,"10","108320","24280","84040","270800","60700","210100","101",R3,,"1",0.134,"2298",,,,,22 496011231150,5957.4833984375,327.671566202041,,,863,113,INVITATION HOMES,901 MAIN ST SUITE 4700,DALLAS TX 75202
"10","3704",22 496011241720,"2020",0 WINTHROPE CHASE DR,"0",,WINTHROPE CHASE,DR,,,,D R HORTON INC,P.O. BOX 54,ALPHARETTA GA 30009,"56","120","120","0","300","300","0","100",R3,,"0",0.0614,"2298",,,,,22 496011241720,2669.08471679688,905.132830163553,,,484,2,D R HORTON INC,P.O. BOX 54,ALPHARETTA GA 30009
