,end_station,n,isCTR,name,latitude,longitude
2,3004,7,0,Municipal Services Building Plaza,39.95378,-75.16374
3,3005,22,0,"Welcome Park, NPS",39.94733,-75.14403
4,3006,11,0,40th & Spruce,39.9522,-75.20311
5,3007,127,0,"11th & Pine, Kahn Park",39.94517,-75.15993
6,3008,1,0,Temple University Station,39.98078,-75.15055
7,3009,31,0,33rd & Market,39.95576,-75.18982
8,3010,40,0,15th & Spruce,39.94711,-75.16618
9,3011,1,0,38th & Powelton,39.95949,-75.1969
10,3012,113,0,21st & Catharine,39.94218,-75.17747
11,3013,4,0,6th & Fairmount,39.96317,-75.14792
12,3014,5,0,"21st & Winter, Franklin Institute",39.95886,-75.17369
13,3015,53,0,"4th & Walnut, NPS",39.94735,-75.14886
14,3018,27,0,12th & Filbert,39.95273,-75.15979
15,3019,6,0,6th & Race,39.95403,-75.14983
16,3020,30,0,University City Station,39.94922,-75.19036
17,3021,32,0,18th & JFK,39.9539,-75.16902
18,3022,68,0,Amtrak 30th Street Station,39.95472,-75.18323
19,3024,18,0,"43rd & Chester, Clark Park",39.94822,-75.20908
20,3025,49,0,11th & Washington,39.93724,-75.1612
21,3026,57,0,2nd & South,39.94138,-75.14564
22,3027,1,0,"40th Street Station, MFL",39.95694,-75.20069
23,3028,70,0,4th & Bainbridge,39.94061,-75.14958
24,3029,104,0,36th & Sansom,39.9538,-75.19479
25,3030,50,0,Darien & Catharine,39.93935,-75.15716
26,3031,6,0,13th & Montgomery,39.98005,-75.15522
27,3032,63,0,23rd & South,39.94527,-75.17971
28,3033,16,0,10th & Chestnut,39.95005,-75.15672
29,3034,26,0,11th & Reed,39.93315,-75.16248
30,3035,1,0,Dornsife Center,39.96271,-75.19419
31,3037,16,0,Pennsylvania Convention Center,39.95424,-75.16138
32,3038,74,0,The Children's Hospital of Philadelphia (CHOP),39.94781,-75.19409
33,3039,1,0,Broad & Girard,39.97121,-75.1597
34,3040,14,0,17th & Spring Garden,39.96289,-75.16606
35,3041,6,0,"Girard Station, MFL",39.96849,-75.13546
36,3043,63,0,"18th & Fernon, Aquinas Center",39.93082,-75.17474
37,3045,52,0,13th & Locust,39.94792,-75.16237
38,3046,43,0,2nd & Market,39.95012,-75.14472
39,3047,32,0,"Independence Mall, NPS",39.95071,-75.14921
40,3049,29,0,Foglietta Plaza,39.94509,-75.1425
41,3050,11,0,9th & Arch,39.95339,-75.15426
42,3051,11,0,23rd & Fairmount,39.96744,-75.17507
43,3052,69,0,9th & Locust,39.94732,-75.15695
44,3053,59,0,Point Breeze & Tasker,39.93231,-75.18154
45,3054,43,0,Rodin Museum,39.9625,-75.1742
46,3055,13,0,8th & Market,39.95112,-75.15457
47,3056,9,0,Broad & Oxford,39.97669,-75.15813
48,3057,68,0,Philadelphia Museum of Art,39.96439,-75.17987
49,3058,12,0,20th & Fairmount,39.96716,-75.17001
50,3059,9,0,"Spring Garden Station, BSL",39.96265,-75.16174
51,3060,9,0,Free Library of Philadelphia - Central Library,39.95923,-75.17036
52,3061,84,0,23rd & Market,39.95425,-75.17761
53,3062,17,0,24th & Sansom,39.95197,-75.17943
54,3063,31,0,17th & Pine,39.94633,-75.1698
55,3064,77,0,"18th & Washington, Chew Playground",39.9384,-75.17327
56,3066,35,0,19th & Lombard,39.94561,-75.17348
57,3068,56,0,Broad & Federal,39.93549,-75.16711
58,3069,52,0,4th & Christian,39.93704,-75.15038
59,3070,4,0,"Spring Garden Station, MFL",39.96062,-75.13983
60,3071,17,0,"32nd & Baring, Drexel Park",39.96173,-75.18788
61,3072,11,0,Front & Carpenter,39.93445,-75.14541
62,3073,7,0,9th & Spring Garden,39.96143,-75.15242
63,3074,26,0,44th & Walnut,39.95511,-75.20987
64,3075,24,0,Fairmount & Ridge,39.96718,-75.16125
65,3077,6,0,17th & Girard,39.97207,-75.16351
66,3078,25,0,19th & Market,39.95355,-75.17192
67,3086,73,0,Broad & Christian,39.94019,-75.16691
68,3088,14,0,3rd & Girard,39.96984,-75.1418
69,3097,22,0,"Berks Station, MFL",39.97888,-75.13339
70,3098,34,0,10th & Federal,39.93431,-75.16042
71,3099,27,0,4th & Washington,39.93401,-75.15094
72,3100,28,0,Moyamensing & Tasker,39.92777,-75.15103
73,3101,135,0,11th & South,39.94295,-75.15955
74,3102,40,0,Pennsylvania & Fairmount Perelman Building,39.96759,-75.17952
75,3107,1,0,33rd & Reservoir,39.98203,-75.18866
76,3108,30,0,15th & Market,39.95316,-75.16551
77,3110,13,0,Del. River Trail & Penn St.,39.96175,-75.13641
78,3112,7,0,48th & Spruce,39.95373,-75.21825
79,3113,2,0,Philadelphia Zoo,39.97472,-75.19781
80,3114,46,0,22nd & Federal,39.93775,-75.18012
81,3115,6,0,"19th & Girard, PTTI",39.97263,-75.16757
82,3116,23,0,Barnes Foundation,39.96006,-75.17198
83,3118,6,0,"46th Street Station, MFL",39.95866,-75.21323
84,3120,12,0,31st & Girard,39.97522,-75.18669
85,3121,11,0,27th & Girard,39.97414,-75.18022
86,3123,2,0,22nd & Cecil B. Moore,39.98004,-75.17088
87,3124,19,0,Race Street Pier,39.95362,-75.13954
88,3125,47,0,15th & South,39.94391,-75.16735
89,3129,26,0,"The Children's Hospital of Philadelphia, Osler Circle",39.94727,-75.19507
90,3150,25,0,"15th & Castle, DiSilvestro Playground",39.92884,-75.17021
91,3152,5,0,"40th & Baltimore, Trolley Portal",39.94993,-75.20286
92,3154,17,0,12th & Callowhill,39.95924,-75.15821
93,3155,37,0,7th & Fitzwater,39.94018,-75.15442
94,3156,32,0,20th & Market,39.95381,-75.17407
95,3157,39,0,"8th & Mifflin, Bok Building",39.92545,-75.15954
96,3158,10,0,Broad & Passyunk,39.92552,-75.16904
97,3159,18,0,38th & Spruce,39.95121,-75.19962
98,3160,2,0,38th & Market,39.95662,-75.19862
99,3161,21,0,30th Street Station East,39.95486,-75.18091
100,3162,69,0,27th & South,39.94595,-75.18475
101,3163,69,0,25th & Locust,39.94974,-75.18097
102,3164,15,0,12th & Passyunk,39.92814,-75.16515
103,3165,22,0,24th & Race SRT,39.95819,-75.1782
104,3166,7,0,Frankford & Belgrade,39.97235,-75.13445
105,3167,27,0,12th & Chestnut,39.95025,-75.16028
106,3168,42,0,20th & Sansom,39.95134,-75.17394
107,3169,17,0,2nd & Race,39.95382,-75.14263
108,3170,49,0,Grays Ferry & Pemberton,39.94426,-75.18134
109,3182,23,0,17th & Sansom,39.95081,-75.16953
110,3183,4,0,15th & Kitty Hawk,39.88994,-75.17679
111,3184,2,0,Health Sciences Drive,39.94573,-75.19551
112,3185,36,0,11th & Market,39.95169,-75.15888
113,3187,25,0,20th & Race,39.95725,-75.17232
114,3188,7,0,"Broad & Pattison, BSL",39.90471,-75.1734
115,3190,187,0,17th & Locust,39.94892,-75.16991
116,3192,9,0,2nd & Fairmount,39.96207,-75.14111
117,3195,41,0,18th & JFK Curbside,39.9541,-75.16965
118,3197,6,0,Broad & Ritner,39.92083,-75.17033
119,3190,0,1,17th & Locust,39.94892,-75.16991
