Country,lat,long,isCTR,Multilaterals,CISFTA,PfP,BSEC,CouncEur,OSCE,CSTO,EEU,CIS,OGP
AFG,34.5166902863,69.1832600493,0,1,,,,,,,,,1
ARG,-34.6025016085,-58.3975313737,0,1,,,,,,,,,1
AUS,-35.2830285454,149.129026244,0,1,,,,,,,,,1
BRA,-15.7833402315,-47.9160522884,0,1,,,,,,,,,1
BFA,12.3703159779,-1.5247237563,0,1,,,,,,,,,1
CPV,14.9166980173,-23.516688885,0,1,,,,,,,,,1
CHL,-33.4500138155,-70.6670408546,0,1,,,,,,,,,1
COL,4.5964235625,-74.0833439552,0,1,,,,,,,,,1
CRI,9.9350124297,-84.0840513527,0,1,,,,,,,,,1
DOM,18.4700728546,-69.9000850847,0,1,,,,,,,,,1
ECU,-0.2149881807,-78.5000511085,0,1,,,,,,,,,1
SLV,13.7100016469,-89.2030412208,0,1,,,,,,,,,1
GHA,5.5500346058,-0.2167157404,0,1,,,,,,,,,1
GTM,14.6211346628,-90.5269655779,0,1,,,,,,,,,1
HND,14.1020449005,-87.2175293393,0,1,,,,,,,,,1
IDN,-6.1744177054,106.829437621,0,1,,,,,,,,,1
ISR,31.7784078156,35.2066259346,0,1,,,,,,,,,1
CIV,5.3199969675,-4.0400482599,0,1,,,,,,,,,1
JAM,17.9770766238,-76.7674337137,0,1,,,,,,,,,1
JOR,31.9500252472,35.9332999255,0,1,,,,,,,,,1
KEN,-1.2833467419,36.8166568591,0,1,,,,,,,,,1
LBR,6.3105566599,-10.8047516291,0,1,,,,,,,,,1
MWI,-13.9832950655,33.78330196,0,1,,,,,,,,,1
MEX,19.4424424428,-99.1309882017,0,1,,,,,,,,,1
MNG,47.9166733999,106.916615762,0,1,,,,,,,,,1
MAR,34.0252990916,-6.8361308201,0,1,,,,,,,,,1
NZL,-41.2999739393,174.783274291,0,1,,,,,,,,,1
NGA,9.0833331491,7.5333280016,0,1,,,,,,,,,1
PAK,33.6999959503,73.1666344797,0,1,,,,,,,,,1
PAN,8.9680171905,-79.5330371518,0,1,,,,,,,,,1
PNG,-9.4647078259,147.192503621,0,1,,,,,,,,,1
PRY,-25.2964029757,-57.6415051693,0,1,,,,,,,,,1
PER,-12.0480126761,-77.0500620948,0,1,,,,,,,,,1
PHL,14.6041589548,120.982217162,0,1,,,,,,,,,1
SEN,14.715831725,-17.4731301284,0,1,,,,,,,,,1
SYC,-4.616631654,55.4499897856,0,1,,,,,,,,,1
SLE,8.4700114125,-13.2342157404,0,1,,,,,,,,,1
ZAF,-33.9200109672,18.4349881578,0,1,,,,,,,,,1
KOR,37.5663490998,126.999730997,0,1,,,,,,,,,1
LKA,6.9319657582,79.8577506093,0,1,,,,,,,,,1
TUN,36.8027781362,10.1796780992,0,1,,,,,,,,,1
TKM,37.9499949331,58.3832991118,0,1,,1,,,,,,,
URY,-34.8580415662,-56.1710522884,0,1,,,,,,,,,1
VAT,41.9000122264,12.4478083889,0,1,,,,,1,,,,
AND,42.5000014435,1.5164859605,0,2,,,,1,1,,,,
BEL,50.8333170767,4.3333166083,0,2,,,,1,1,,,,
BIH,43.850022399,18.383001667,0,2,,1,,1,,,,,
CAN,45.4166967967,-75.7000153012,0,2,,,,,1,,,,1
HRV,45.8000067333,15.9999946682,0,2,,,,1,,,,,1
CYP,35.1666764517,33.3666348864,0,2,,,,1,1,,,,
CZE,50.0833370149,14.4659797757,0,2,,,,1,,,,,1
DNK,55.6785641904,12.5634857473,0,2,,,,,1,,,,1
HUN,47.5000063264,19.0833206774,0,2,,,,1,1,,,,
ISL,64.1500236197,-21.9500144872,0,2,,,,1,1,,,,
LIE,47.1337237743,9.5166694729,0,2,,,,1,1,,,,
MKD,42.0000061229,21.4334614651,0,2,,,,1,,,,,1
MCO,43.7396456879,7.4069131735,0,2,,,,1,1,,,,
MNE,42.4659725129,19.2663069241,0,2,,,,1,,,,,1
POL,52.2500006298,20.9999995511,0,2,,,,1,1,,,,
SMR,43.9171500845,12.4666702867,0,2,,,,1,1,,,,
SVK,48.15001833,17.1169807522,0,2,,,,1,,,,,1
SVN,46.0552883088,14.5149690335,0,2,,,,1,1,,,,
USA,38.8995493765,-77.0094185808,0,2,,,,,1,,,,1
AUT,48.2000152782,16.3666389554,0,3,,1,,1,1,,,,
EST,59.4338773795,24.7280407295,0,3,,,,1,1,,,,1
FIN,60.175563374,24.9341263415,0,3,,1,,,1,,,,1
