,Return.Kiosk.ID,n,isCTR,Kiosk.Name,Kiosk.Status,Latitude,Longitude
1,1002,11,0,6th & Navasota St.,closed,30.26383,-97.72864
2,1003,66,0,8th & Guadalupe,closed,30.27106,-97.74563
3,1005,18,0,State Parking Garage @ Brazos & 18th,closed,30.27907,-97.73715
4,1006,12,0,Zilker Park West,closed,30.26587,-97.76826
5,1007,87,0,Lavaca & 6th,closed,30.26889,-97.74525
6,1008,64,0,Nueces @ 3rd,closed,30.26694,-97.74939
7,2494,455,0,2nd & Congress,active,30.26408,-97.74355
8,2495,427,0,4th & Congress,active,30.26634,-97.74378
9,2496,328,0,8th & Congress,active,30.2698,-97.74186
10,2497,660,0,Capitol Station / Congress & 11th,active,30.2726,-97.74127
11,2498,294,0,Convention Center / 4th St. @ MetroRail,active,30.26483,-97.739
12,2499,499,0,City Hall / Lavaca & 2nd,active,30.26476,-97.74678
13,2501,361,0,5th & Bowie,active,30.2696,-97.75332
14,2502,130,0,Barton Springs & Riverside,active,30.2587,-97.74872
15,2503,175,0,South Congress & James,active,30.25103,-97.74926
16,2504,134,0,South Congress & Elizabeth,active,30.24891,-97.75019
17,2536,52,0,Waller & 6th St.,closed,30.26461,-97.73049
18,2537,354,0,West & 6th St.,active,30.27041,-97.75046
19,2538,361,0,Bullock Museum @ Congress & MLK,closed,30.28039,-97.73809
20,2539,213,0,Convention Center / 3rd & Trinity,active,30.26426,-97.74023
21,2540,657,0,17th & Guadalupe,active,30.27974,-97.74254
22,2541,188,0,State Capitol @ 14th & Colorado,closed,30.27654,-97.74155
23,2542,121,0,Plaza Saltillo,active,30.26217,-97.72743
24,2544,18,0,East 6th & Pedernales St.,active,30.25895,-97.71475
25,2545,139,0,ACC - Rio Grande & 12th,closed,30.27595,-97.74739
26,2546,106,0,ACC - West & 12th Street,closed,30.27624,-97.74831
27,2547,1183,0,Guadalupe & 21st,active,30.28395,-97.74198
28,2548,2689,0,UT West Mall @ Guadalupe,active,30.28576,-97.74181
29,2549,303,0,Long Center @ South 1st & Riverside,active,30.25941,-97.74971
30,2550,615,0,Republic Square @ Guadalupe & 4th St.,closed,30.26774,-97.74692
31,2552,221,0,3rd & West,active,30.2678,-97.75189
32,2561,147,0,State Capitol Visitors Garage @ San Jacinto & 12th,active,30.27336,-97.73805
33,2562,219,0,San Jacinto & 8th Street,active,30.26912,-97.73986
34,2563,241,0,Davis at Rainey Street,active,30.26019,-97.73845
