cityState,visits,lat,lon,isCTR
"Alfred, ME",4,43.47684,-70.716934,FALSE
"Amesbury, MA",10,42.8579536,-70.9300921,FALSE
"Amherst, NH",938,42.8642874,-71.6252484,FALSE
"Annandale, VA",9,38.8303098,-77.1964966,FALSE
"Antrim, NH",4,43.0309142,-71.9389689,FALSE
"Ashby, MA",2,42.6778657,-71.8203525,FALSE
"Ashland, MA",2,42.2612067,-71.4633956,FALSE
"Auburn, NH",17,43.0045289,-71.348398,FALSE
"Averill Park, NY",2,42.6343578,-73.5537673,FALSE
"Avon, CT",4,41.7916621,-72.86227881,FALSE
"Ayer, MA",12,42.5612021,-71.5897897,FALSE
"Baldwinville, MA",4,42.6084207,-72.075913,FALSE
"Baltimore, MD",14,39.2908816,-76.610759,FALSE
"Bedford, MA",12,42.4917301,-71.2817947,FALSE
"Bedford, NH",1450,42.9464737,-71.5159015,FALSE
"Bellingham, MA",6,42.0869493,-71.4746436,FALSE
"Bernard, ME",2,44.2411917,-68.3558508,FALSE
"Biddeford, ME",3,43.4925843,-70.4533844,FALSE
"Billerica, MA",11,42.5584264,-71.268947,FALSE
"Bolton, MA",6,42.4334258,-71.6078449,FALSE
"Boston, MA",2,42.3602534,-71.0582912,FALSE
"Bow, NH",8,43.133061,-71.549149,FALSE
"Brookline, NH",274,42.7348102,-71.6581267,FALSE
"Brooklyn, NY",4,40.6501038,-73.9495823,FALSE
"Burlington, MA",5,42.5048167,-71.1956111,FALSE
"Candia, NH",6,43.077916,-71.277237,FALSE
"Center Barnstead, NH",2,43.339247,-71.2595107,FALSE
"Charlestown, MA",3,42.3778749,-71.0619957,FALSE
"Chelmsford, MA",19,42.5998139,-71.3672838,FALSE
"Chester, NH",8,42.9567525,-71.2572846,FALSE
"Chichester, NH",4,43.249704,-71.400146,FALSE
"Clinton, MA",2,42.4199632,-71.6859507,FALSE
"Colrain, MA",6,42.6728607,-72.6971665,FALSE
"Concord, NH",28,43.207178,-71.537476,FALSE
"Contoocook, NH",2,43.2224096,-71.7135465,FALSE
"Dallas, TX",6,32.7762719,-96.7968559,FALSE
"Deerfield, NH",9,43.146589,-71.216812,FALSE
"Derry, NH",122,42.8808677,-71.3264492,FALSE
"Dover, NH",5,43.198057,-70.8739158,FALSE
"Dracut, MA",4,42.6703687,-71.3020052,FALSE
"Dunstable, MA",62,42.6750898,-71.4828433,FALSE
"Duvall, WA",7,47.7423219,-121.9856782,FALSE
"East Templeton, MA",2,42.563144,-72.0370227,FALSE
"Elkins, WV",2,38.925927,-79.8466552,FALSE
"Enfield, NH",2,43.60178965,-72.11272781,FALSE
"Epping, NH",9,43.0394461,-71.0730253,FALSE
"Epsom, NH",2,43.223191,-71.332169,FALSE
