airport,airport_longName,lat,long,isORD,flightsORD
OTH,Southwest Oregon Regional Airport,43.417099,-124.2460022,0,0
CEC,Jack Mc Namara Field Airport,41.78020096,-124.2369995,0,0
ACV,California Redwood Coast-Humboldt County Airport,40.978101,-124.109,0,0
CLM,William R Fairchild International Airport,48.12020111,-123.5,0,0
EUG,Mahlon Sweet Field,44.12459946,-123.211998,0,0
FRD,Friday Harbor Airport,48.52199936,-123.0240021,0,0
LPS,Lopez Island Airport,48.48389816,-122.9380035,0,0
ESD,Orcas Island Airport,48.70819855,-122.9100037,0,0
MFR,Rogue Valley International Medford Airport,42.37419891,-122.8730011,0,0
STS,Charles M. Schulz Sonoma County Airport,38.50899887,-122.8130035,0,0
PDX,Portland International Airport,45.58869934,-122.5979996,0,4
BLI,Bellingham International Airport,48.7928009,-122.538002,0,0
SFO,San Francisco International Airport,37.61899948,-122.375,0,5
SEA,Seattle Tacoma International Airport,47.449001,-122.308998,0,4
BFI,Boeing Field King County International Airport,47.52999878,-122.302002,0,0
RDD,Redding Municipal Airport,40.50899887,-122.2929993,0,0
OAK,Metropolitan Oakland International Airport,37.721298,-122.221001,0,1
SJC,Norman Y. Mineta San Jose International Airport,37.362598,-121.929001,0,2
CIC,Chico Municipal Airport,39.79539871,-121.8580017,0,0
MRY,Monterey Peninsula Airport,36.5870018,-121.8430023,0,0
LMT,Crater Lake-Klamath Regional Airport,42.156101,-121.733002,0,0
SMF,Sacramento International Airport,38.69540024,-121.5910034,0,1
SCK,Stockton Metropolitan Airport,37.89419937,-121.237999,0,0
RDM,Roberts Field,44.2541008,-121.1500015,0,0
MOD,Modesto City Co-Harry Sham Field,37.62580109,-120.9540024,0,0
SBP,San Luis County Regional Airport,35.23680115,-120.6419983,0,0
YKM,Yakima Air Terminal McAllister Field,46.56819916,-120.5439987,0,0
MCE,Merced Regional Macready Field,37.28469849,-120.5139999,0,0
SMX,Santa Maria Pub/Capt G Allan Hancock Field,34.89889908,-120.4570007,0,0
EAT,Pangborn Memorial Airport,47.39889908,-120.2070007,0,0
SBA,Santa Barbara Municipal Airport,34.42620087,-119.8399963,0,0
RNO,Reno Tahoe International Airport,39.49909973,-119.7679977,0,2
FAT,Fresno Yosemite International Airport,36.77619934,-119.7180023,0,0
