airport,isDTW,lat,long,flightsDTW,,,,,,,,,,isORD,isYYZ,isMSP,isYWG,name
ATL,0,33.6367,-84.428101,8,,,,,,,,,,0,0,0,0,Rabah Bitat Airport
DEN,0,39.8616981506,-104.672996521,5,,,,,,,,,,0,0,0,0,Aalborg Airport
FRA,0,50.033333,8.570556,5,,,,,,,,,,0,0,0,0,Al Ain International Airport
MSY,0,29.9934005737,-90.2580032349,5,,,,,,,,,,0,0,0,0,Anapa Vityazevo Airport
YYZ,0,43.6772003174,-79.6305999756,5,,,,,,,,,,0,0,0,0,Aarhus Airport
DFW,0,32.896801,-97.038002,4,,,,,,,,,,0,0,0,0,Romeu Zema Airport
LGA,0,40.77719879,-73.87259674,4,,,,,,,,,,0,0,0,0,Al Ghaidah International Airport
LHR,0,51.4706,-0.461941,4,,,,,,,,,,0,0,0,0,Abakan Airport
ORD,0,41.9786,-87.9048,4,,,,,,,,,,0,0,0,0,Asaba International Airport
PHX,0,33.434299469,-112.0120010376,4,,,,,,,,,,0,0,0,0,Abadan Airport
YUL,0,45.4706001282,-73.7407989502,4,,,,,,,,,,0,0,0,0,Lehigh Valley International Airport
BWI,0,39.1754,-76.668297,3,,,,,,,,,,0,0,0,0,Abilene Regional Airport
CDG,0,49.012798,2.55,3,,,,,,,,,,0,0,0,0,Port Bouet Airport
CLT,0,35.2140007019,-80.9430999756,3,,,,,,,,,,0,0,0,0,Ambler Airport
CUN,0,21.0365009308,-86.8770980835,3,,,,,,,,,,0,0,0,0,Northern Peninsula Airport
DCA,0,38.8521,-77.037697,3,,,,,,,,,,0,0,0,0,Albuquerque International Sunport
IAH,0,29.9843997955,-95.3414001465,3,,,,,,,,,,0,0,0,0,Aberdeen Regional Airport
LAS,0,36.08010101,-115.1520004,3,,,,,,,,,,0,0,0,0,Abu Simbel Airport
MDW,0,41.785999,-87.752403,3,,,,,,,,,,0,0,0,0,Al Baha Airport
MIA,0,25.7931995392,-80.2906036377,3,,,,,,,,,,0,0,0,0,Nnamdi Azikiwe International Airport
PEK,0,40.0801010132,116.5849990845,3,,,,,,,,,,0,0,0,0,Albury Airport
PHL,0,39.8718986511,-75.2410964966,3,,,,,,,,,,0,0,0,0,Southwest Georgia Regional Airport
PVG,0,31.1434001923,121.8050003052,3,,,,,,,,,,0,0,0,0,Aberdeen Dyce Airport
STL,0,38.748697,-90.370003,3,,,,,,,,,,0,0,0,0,General Juan N Alvarez International Airport
AMS,0,52.308601,4.76389,2,,,,,,,,,,0,0,0,0,Kotoka International Airport
BNA,0,36.1245002747,-86.6781997681,2,,,,,,,,,,0,0,0,0,Lanzarote Airport
BOS,0,42.36429977,-71.00520325,2,,,,,,,,,,0,0,0,0,St Gallen Altenrhein Airport
EWR,0,40.6925010681,-74.1687011719,2,,,,,,,,,,0,0,0,0,Alderney Airport
FLL,0,26.072599,-80.152702,2,,,,,,,,,,0,0,0,0,Nantucket Memorial Airport
GRU,0,-23.4355564117,-46.4730567932,2,,,,,,,,,,0,0,0,0,Araracuara Airport
IAD,0,38.94449997,-77.45580292,2,,,,,,,,,,0,0,0,0,Waco Regional Airport
LAX,0,33.94250107,-118.4079971,2,,,,,,,,,,0,0,0,0,California Redwood Coast-Humboldt County Airport
MCO,0,28.4293994904,-81.3089981079,2,,,,,,,,,,0,0,0,0,Xingyi Airport
MEX,0,19.4363,-99.072098,2,,,,,,,,,,0,0,0,0,Atlantic City International Airport
MTY,0,25.7784996033,-100.107002258,2,,,,,,,,,,0,0,0,0,Zabol Airport
MYR,0,33.6796989441,-78.9282989502,2,,,,,,,,,,0,0,0,0,Adana Airport
PDX,0,45.58869934,-122.5979996,2,,,,,,,,,,0,0,0,0,Adnan Menderes International Airport
RSW,0,26.5361995697,-81.7552032471,2,,,,,,,,,,0,0,0,0,Addis Ababa Bole International Airport
SAN,0,32.7336006165,-117.190002441,2,,,,,,,,,,0,0,0,0,Aden International Airport
TPA,0,27.9755001068,-82.533203125,2,,,,,,,,,,0,0,0,0,Adıyaman Airport
ABE,0,40.6520996094,-75.4408035278,1,,,,,,,,,,0,0,0,0,Adak Airport
ACY,0,39.4575996399,-74.5772018433,1,,,,,,,,,,0,0,0,0,Adelaide International Airport
ALB,0,42.748298645,-73.8016967773,1,,,,,,,,,,0,0,0,0,Kodiak Airport
APN,0,45.0780983,-83.56030273,1,,,,,,,,,,0,0,0,0,Ardabil Airport
ATW,0,44.2580986023,-88.5190963745,1,,,,,,,,,,0,0,0,0,Gustavo Rojas Pinilla International Airport
AUS,0,30.1944999695,-97.6698989868,1,,,,,,,,,,0,0,0,0,Jorge Newbery Airpark
AVL,0,35.4361991882,-82.5418014526,1,,,,,,,,,,0,0,0,0,Sochi International Airport
AVP,0,41.3385009766,-75.7233963013,1,,,,,,,,,,0,0,0,0,Ålesund Airport
AZO,0,42.2349014282,-85.5521011353,1,,,,,,,,,,0,0,0,0,Allakaket Airport
BDL,0,41.9388999939,-72.6831970215,1,,,,,,,,,,0,0,0,0,Alexandria International Airport
BGM,0,42.20869827,-75.97979736,1,,,,,,,,,,0,0,0,0,Akureyri Airport
BGR,0,44.8073997498,-68.8281021118,1,,,,,,,,,,0,0,0,0,Suboficial Ay Santiago Germano Airport
BHM,0,33.56290054,-86.75350189,1,,,,,,,,,,0,0,0,0,Piloto Osvaldo Marques Dias Airport
BMI,0,40.47710037,-88.91590118,1,,,,,,,,,,0,0,0,0,Sabzevar National Airport
BTV,0,44.4719009399,-73.1532974243,1,,,,,,,,,,0,0,0,0,Al Massira Airport
BUF,0,42.94049835,-78.73220062,1,,,,,,,,,,0,0,0,0,Augsburg Airport
CAE,0,33.9388008118,-81.1194992065,1,,,,,,,,,,0,0,0,0,Agen-La Garenne Airport
CAK,0,40.9160995483,-81.442199707,1,,,,,,,,,,0,0,0,0,Ängelholm-Helsingborg Airport
CHA,0,35.0353012085,-85.2037963867,1,,,,,,,,,,0,0,0,0,Angoon Seaplane Base
CHS,0,32.89860153,-80.04049683,1,,,,,,,,,,0,0,0,0,Málaga Airport
CID,0,41.8847007751,-91.7108001709,1,,,,,,,,,,0,0,0,0,Agra Airport
CIU,0,46.2508010864,-84.4723968506,1,,,,,,,,,,0,0,0,0,Augusta Regional At Bush Field
CLE,0,41.4117012024,-81.8498001099,1,,,,,,,,,,0,0,0,0,Guarani International Airport
CMH,0,39.998001,-82.891899,1,,,,,,,,,,0,0,0,0,Jesús Terán Paredo International Airport
CRW,0,38.3731002808,-81.5932006836,1,,,,,,,,,,0,0,0,0,Agatti Airport
CVG,0,39.0488014221,-84.6678009033,1,,,,,,,,,,0,0,0,0,Abha Regional Airport
CWA,0,44.7775993347,-89.6668014526,1,,,,,,,,,,0,0,0,0,Ahe Airport
DAY,0,39.9024009705,-84.2193984985,1,,,,,,,,,,0,0,0,0,Athens Ben Epps Airport
DSM,0,41.5340003967,-93.6631011963,1,,,,,,,,,,0,0,0,0,Alghero-Fertilia Airport
ELM,0,42.1599006653,-76.8916015625,1,,,,,,,,,,0,0,0,0,Cherif Al Idrissi Airport
ERI,0,42.0831270134,-80.1738667488,1,,,,,,,,,,0,0,0,0,Alliance Municipal Airport
ESC,0,45.7226982117,-87.0936965942,1,,,,,,,,,,0,0,0,0,Wainwright Airport
EVV,0,38.0369987488,-87.5324020386,1,,,,,,,,,,0,0,0,0,Aitutaki Airport
FWA,0,40.97850037,-85.19509888,1,,,,,,,,,,0,0,0,0,Enua Airport
GCM,0,19.2928009033,-81.3576965332,1,,,,,,,,,,0,0,0,0,Ajaccio-Napoléon Bonaparte Airport
GRB,0,44.4850997925,-88.1296005249,1,,,,,,,,,,0,0,0,0,Al-Jawf Domestic Airport
GRR,0,42.88079834,-85.52279663,1,,,,,,,,,,0,0,0,0,Ağrı Airport
GSO,0,36.0978012085,-79.9373016357,1,,,,,,,,,,0,0,0,0,Lengpui Airport
GSP,0,34.8956985474,-82.2189025879,1,,,,,,,,,,0,0,0,0,Arvidsjaur Airport
HPN,0,41.0670013428,-73.7076034546,1,,,,,,,,,,0,0,0,0,Santa Maria Airport
HSV,0,34.6371994019,-86.775100708,1,,,,,,,,,,0,0,0,0,Atka Airport
ICN,0,37.4691009521,126.4509963989,1,,,,,,,,,,0,0,0,0,Kufra Airport
ILG,0,39.67869949,-75.60649872,1,,,,,,,,,,0,0,0,0,Akiak Airport
IND,0,39.7173,-86.294403,1,,,,,,,,,,0,0,0,0,Asahikawa Airport
ITH,0,42.4910011292,-76.4583969116,1,,,,,,,,,,0,0,0,0,Akhiok Airport
JAX,0,30.4941005707,-81.6878967285,1,,,,,,,,,,0,0,0,0,Auckland International Airport
JFK,0,40.63980103,-73.77890015,1,,,,,,,,,,0,0,0,0,King Salmon Airport
LAN,0,42.7787017822,-84.5874023438,1,,,,,,,,,,0,0,0,0,Anaktuvuk Pass Airport
LEX,0,38.0364990234,-84.6059036255,1,,,,,,,,,,0,0,0,0,Aksu Airport
LIT,0,34.7294006348,-92.2242965698,1,,,,,,,,,,0,0,0,0,Akulivik Airport
MBJ,0,18.5037002563,-77.9133987427,1,,,,,,,,,,0,0,0,0,Aktobe Airport
MBS,0,43.5329017639,-84.0795974731,1,,,,,,,,,,0,0,0,0,Sittwe Airport
MCI,0,39.2976,-94.713898,1,,,,,,,,,,0,0,0,0,Almaty Airport
