formatted_address,index,lat,long,accuracy
"Zhongyuan, Zhengzhou, Henan, China",1,34.748256,113.61285,political
"Erqi, Zhengzhou, Henan, China",2,34.723946,113.640177,political
"Guancheng, Zhengzhou, Henan, China",3,34.749845,113.692648,political
"Jinshui, Zhengzhou, Henan, China",4,34.800156,113.660554,political
"Shangjie, Zhengzhou, Henan, China",5,34.80278,113.308961,political
"Huiji, Zhengzhou, Henan, China",6,34.867457,113.6169,political
"Zhongmu, Zhengzhou, Henan, China",7,34.718936,113.976254,political
"Gongyi, Zhengzhou, Henan, China",8,34.747834,113.022496,political
"Xingyang, Zhengzhou, Henan, China",9,34.787375,113.38322,political
"Xinmi, Zhengzhou, Henan, China",10,34.539442,113.39089,political
"Xinzheng, Zhengzhou, Henan, China",11,34.395562,113.740529,political
"Dengfeng, Zhengzhou, Henan, China",12,34.454443,113.050581,political
"Longting, Kaifeng, Henan, China",13,34.818622,114.323688,political
"Shunhe, Kaifeng, Henan, China",14,34.800458,114.364875,political
"Gulou, Kaifeng, Henan, China",15,34.78856,114.348306,political
"Yuwangtai, Kaifeng, Henan, China",16,34.777104,114.34817,political
"Jin Ming Xi Jie, Longting Qu, Kaifeng Shi, Henan Sheng, China",17,34.7883392,114.2970529,route
"Xiangfu, Kaifeng, Henan, China",18,34.756916,114.441285,political
"Qixian, Kaifeng, Henan, China",19,34.549174,114.783139,political
"Tongxu, Kaifeng, Henan, China",20,34.480433,114.467467,political
"Weishi, Kaifeng, Henan, China",21,34.411494,114.193081,political
"Lankao, Kaifeng, Henan, China",22,34.822211,114.821348,political
"Laocheng, Luoyang, Henan, China",23,34.683646,112.469023,political
"Xigong, Luoyang, Henan, China",24,34.6599,112.428413,political
"Chanhe, Luoyang, Henan, China",25,34.67985,112.500205,political
"Jianxi, Luoyang, Henan, China",26,34.658033,112.395755,political
"Jili, Luoyang, Henan, China",27,34.900889,112.589052,political
"Luolong, Luoyang, Henan, China",28,34.619404,112.464172,political
"Mengjin, Luoyang, Henan, China",29,34.825306,112.445252,political
"Xin'an, Luoyang, Henan, China",30,34.728584,112.132488,political
"Luanchuan, Luoyang, Henan, China",31,33.785698,111.615768,political
"Songxian, Luoyang, Henan, China",32,34.134516,112.085634,political
"Ruyang, Luoyang, Henan, China",33,34.153939,112.473139,political
"Yiyang, Luoyang, Henan, China",34,34.514644,112.179238,political
"Luoning, Luoyang, Henan, China",35,34.389414,111.653039,political
"Yichuan, Luoyang, Henan, China",36,34.421459,112.425651,political
"Yanshi, Luoyang, Henan, China",37,34.72722,112.789534,political
"Xinhua, Pingdingshan, Henan, China",38,33.737251,113.293977,political
"Weidong, Pingdingshan, Henan, China",39,33.734706,113.335192,political
"Shilong, Pingdingshan, Henan, China",40,33.898713,112.898818,political
"Zhanhe, Pingdingshan, Henan, China",41,33.725681,113.320873,political
"Baofeng, Pingdingshan, Henan, China",42,33.868434,113.054801,political
"Yexian, Pingdingshan, Henan, China",43,33.626731,113.357239,political
"Lushan, Pingdingshan, Henan, China",44,33.738293,112.908202,political
"Jiaxian, Pingdingshan, Henan, China",45,33.971787,113.212609,political
"Wugang, Pingdingshan, Henan, China",46,33.307776,113.524794,political
"Ruzhou, Pingdingshan, Henan, China",47,34.167029,112.844517,political
"Wenfeng, Anyang, Henan, China",48,36.090468,114.357082,political
"Beiguan, Anyang, Henan, China",49,36.10766,114.355742,political
"Yindu, Anyang, Henan, China",50,36.10989,114.303553,political
"Long'an, Anyang, Henan, China",51,36.076225,114.301331,political
"Anyang, Henan, China",52,36.097577,114.392392,locality
"Tangyin, Anyang, Henan, China",53,35.924514,114.357763,political
"Huaxian, Anyang, Henan, China",54,35.575417,114.519311,political
"Neihuang, Anyang, Henan, China",55,35.971704,114.901452,political
"Linzhou, Anyang, Henan, China",56,36.083046,113.820129,political
"Heshan, Hebi, Henan, China",57,35.954611,114.163258,political
"Shancheng, Hebi, Henan, China",58,35.897702,114.184427,political
"Qibin, Hebi, Henan, China",59,35.741296,114.298693,political
"Xunxian, Hebi, Henan, China",60,35.67636,114.55091,political
"Qixian, Hebi, Henan, China",61,35.607762,114.197651,political
"Hongqi, Xinxiang, Henan, China",62,35.30385,113.875245,political
"Weibin, Xinxiang, Henan, China",63,35.301992,113.865663,political
"Fengquan, Xinxiang, Henan, China",64,35.383978,113.915184,political
"Muye, Xinxiang, Henan, China",65,35.315039,113.908772,political
"Xinxiang, Henan, China",66,35.303704,113.926763,locality
"Huojia, Xinxiang, Henan, China",67,35.259808,113.657433,political
"Yuanyang, Xinxiang, Henan, China",68,35.052761,113.967907,political
"Yanjin, Xinxiang, Henan, China",69,35.141889,114.20509,political
"Fengqiu, Xinxiang, Henan, China",70,35.041198,114.418882,political
"Changyuan, Xinxiang, Henan, China",71,35.201548,114.668936,political
"Weihui, Xinxiang, Henan, China",72,35.398494,114.064907,political
"Huixian, Xinxiang, Henan, China",73,35.462312,113.805468,political
"Jiefang, Jiaozuo, Henan, China",74,35.240282,113.230817,political
"Zhongzhan, Jiaozuo, Henan, China",75,35.236819,113.182946,political
"Macun, Jiaozuo, Henan, China",76,35.256108,113.322332,political
"Shanyang, Jiaozuo, Henan, China",77,35.214507,113.254881,political
"Xiuwu, Jiaozuo, Henan, China",78,35.223514,113.447755,political
"Bo'ai, Jiaozuo, Henan, China",79,35.171045,113.064379,political
"Wuzhi, Jiaozuo, Henan, China",80,35.099378,113.401679,political
"Wenxian, Jiaozuo, Henan, China",81,34.940189,113.08053,political
"Qinyang, Jiaozuo, Henan, China",82,35.087539,112.950716,political
"Mengzhou, Jiaozuo, Henan, China",83,34.907315,112.791401,political
"Hualong, Puyang, Henan, China",84,35.777346,115.074151,political
"Qingfeng, Puyang, Henan, China",85,35.88518,115.104389,political
"Nanle, Puyang, Henan, China",86,36.069602,115.20474,political
"Fanxian, Puyang, Henan, China",87,35.851906,115.504201,political
"Taiqian, Puyang, Henan, China",88,35.96939,115.871906,political
"Puyang, Henan, China",89,35.712193,115.029078,political
"Weidu, Xuchang, Henan, China",90,34.025341,113.822647,political
"Xuchang, Henan, China",91,34.12466,113.822983,political
"Yanling, Xuchang, Henan, China",92,34.102332,114.177399,political
"Xiangcheng, Xuchang, Henan, China",93,33.846369,113.482453,political
"Yuzhou, Xuchang, Henan, China",94,34.140701,113.488478,political
"Changge, Xuchang, Henan, China",95,34.194135,113.819888,political
"Yuanhui, Luohe, Henan, China",96,33.565441,114.017948,political
"Yancheng, Luohe, Henan, China",97,33.587409,114.006943,political
"Shaoling, Luohe, Henan, China",98,33.586565,114.093902,political
"Wuyang, Luohe, Henan, China",99,33.437877,113.609286,political
"Linying, Luohe, Henan, China",100,33.828042,113.931261,political
"Hubin, Sanmenxia, Henan, China",101,34.770885,111.188397,political
"Shanzhou, Sanmenxia, Henan, China",102,34.720547,111.103563,political
"Mianchi, Sanmenxia, Henan, China",103,34.767951,111.761797,political
"Lushi, Sanmenxia, Henan, China",104,34.054324,111.047858,political
"Yima, Sanmenxia, Henan, China",105,34.7474,111.87448,political
"Lingbao, Sanmenxia, Henan, China",106,34.516828,110.89422,political
"Wancheng, Nanyang, Henan, China",107,33.003784,112.539558,political
"Wolong, Nanyang, Henan, China",108,32.989877,112.528789,political
"Nanzhao, Nanyang, Henan, China",109,33.489877,112.429133,political
"Fangcheng, Nanyang, Henan, China",110,33.254391,113.012494,political
"Xixia, Nanyang, Henan, China",111,33.298364,111.482591,political
"Zhenping, Nanyang, Henan, China",112,33.034111,112.234697,political
"Neixiang, Nanyang, Henan, China",113,33.044864,111.849392,political
"Xichuan, Nanyang, Henan, China",114,33.13782,111.490964,political
"Sheqi, Nanyang, Henan, China",115,33.056109,112.948245,political
"Tanghe, Nanyang, Henan, China",116,32.697086,112.840602,political
"Xinye, Nanyang, Henan, China",117,32.520805,112.360026,political
"Tongbai, Nanyang, Henan, China",118,32.367401,113.406491,political
"Dengzhou, Nanyang, Henan, China",119,32.687733,112.087455,political
"Liangyuan, Shangqiu, Henan, China",120,34.443893,115.613965,political
"Suiyang, Shangqiu, Henan, China",121,34.388389,115.653302,political
"Minquan, Shangqiu, Henan, China",122,34.647758,115.179594,political
"Suixian, Shangqiu, Henan, China",123,34.445655,115.071879,political
"Ningling, Shangqiu, Henan, China",124,34.460231,115.313737,political
"Zhecheng, Shangqiu, Henan, China",125,34.091082,115.305708,political
"Yucheng, Shangqiu, Henan, China",126,34.402512,115.840511,political
"Xiayi, Shangqiu, Henan, China",127,34.237553,116.131447,political
"Yongcheng, Shangqiu, Henan, China",128,33.929291,116.4495,political
"Shihe, Xinyang, Henan, China",129,32.116803,114.058713,political
"Pingqiao, Xinyang, Henan, China",130,32.101031,114.125656,political
"Luoshan, Xinyang, Henan, China",131,32.203072,114.513012,political
"Guangshan, Xinyang, Henan, China",132,32.009995,114.91925,political
"Xinxian, Xinyang, Henan, China",133,31.643918,114.879239,political
"Shangcheng, Xinyang, Henan, China",134,31.798377,115.406862,political
"Gushi, Xinyang, Henan, China",135,32.168137,115.654481,political
"Huangchuan, Xinyang, Henan, China",136,32.131522,115.051908,political
"Huaibin, Xinyang, Henan, China",137,32.473258,115.419537,political
"Xixian, Xinyang, Henan, China",138,32.342792,114.740456,political
"Chuanhui, Zhoukou, Henan, China",139,33.647598,114.650628,political
"Fugou, Zhoukou, Henan, China",140,34.059968,114.394821,political
"Xihua, Zhoukou, Henan, China",141,33.767407,114.529756,political
"Shangshui, Zhoukou, Henan, China",142,33.542138,114.611651,political
"Shenqiu, Zhoukou, Henan, China",143,33.409368,115.098583,political
"Dancheng, Zhoukou, Henan, China",144,33.644743,115.177188,political
"Huaiyang, Zhoukou, Henan, China",145,33.731561,114.886153,political
"Taikang, Zhoukou, Henan, China",146,34.064463,114.837888,political
"Luyi, Zhoukou, Henan, China",147,33.86,115.484454,political
"Xiangcheng, Zhoukou, Henan, China",148,33.465838,114.875333,political
"Yicheng, Zhumadian, Henan, China",149,32.973054,113.993914,political
"Xiping, Zhumadian, Henan, China",150,33.387684,114.021538,political
"Shangcai, Zhumadian, Henan, China",151,33.262439,114.264381,political
"Pingyu, Zhumadian, Henan, China",152,32.96271,114.619159,political
"Zhengyang, Zhumadian, Henan, China",153,32.605697,114.392773,political
"Queshan, Zhumadian, Henan, China",154,32.802064,114.026429,political
"Biyang, Zhumadian, Henan, China",155,32.723975,113.327144,political
"Runan, Zhumadian, Henan, China",156,33.006729,114.362379,political
"Suiping, Zhumadian, Henan, China",157,33.145649,114.013182,political
"Xincai, Zhumadian, Henan, China",158,32.744896,114.96547,political
"Jiyuan, Henan, China",159,35.067243,112.601918,political
"Jiang'an, Wuhan, Hubei, China",160,30.600064,114.309091,political
"Jianghan, Wuhan, Hubei, China",161,30.60143,114.27087,political
"Qiaokou, Wuhan, Hubei, China",162,30.582202,114.21492,political
"Hanyang, Wuhan, Hubei, China",163,30.553985,114.218608,political
"Wuchang, Wuhan, Hubei, China",164,30.554299,114.316513,political
"Qingshan, Wuhan, Hubei, China",165,30.63963,114.385538,political
"Hongshan, Wuhan, Hubei, China",166,30.500247,114.343796,political
"Dongxihu, Wuhan, Hubei, China",167,30.620019,114.136886,political
"Hannan, Wuhan, Hubei, China",168,30.308775,114.084554,political
"Caidian, Wuhan, Hubei, China",169,30.582271,114.029327,political
"Jiangxia, Wuhan, Hubei, China",170,30.375552,114.320726,political
"Huangpi, Wuhan, Hubei, China",171,30.882557,114.375743,political
"Xinzhou, Wuhan, Hubei, China",172,30.841544,114.801106,political
