cityState,visits,lat,lon,isCTR
"Alfred, ME",4,-70.716934,43.47684,FALSE
"Amesbury, MA",10,-70.9300921,42.8579536,FALSE
"Amherst, NH",938,-71.6252484,42.8642874,FALSE
"Annandale, VA",9,-77.1964966,38.8303098,FALSE
"Antrim, NH",4,-71.9389689,43.0309142,FALSE
"Apo, AE",4,-74.5724374,-14.8850695,FALSE
"Ashby, MA",2,-71.8203525,42.6778657,FALSE
"Ashland, MA",2,-71.4633956,42.2612067,FALSE
"Auburn, NH",17,-71.348398,43.0045289,FALSE
"Averill Park, NY",2,-73.5537673,42.6343578,FALSE
"Avon, CT",4,-72.8622788053574,41.7916621,FALSE
"Ayer, MA",12,-71.5897897,42.5612021,FALSE
"Baldwinville, MA",4,-72.075913,42.6084207,FALSE
"Baltimore, MD",14,-76.610759,39.2908816,FALSE
"Bedford, MA",12,-71.2817947,42.4917301,FALSE
"Bedford, NH",1450,-71.5159015,42.9464737,FALSE
"Bellingham, MA",6,-71.4746436,42.0869493,FALSE
"Bernard, ME",2,-68.3558508,44.2411917,FALSE
"Biddeford, ME",3,-70.4533844,43.4925843,FALSE
"Billerica, MA",11,-71.268947,42.5584264,FALSE
"Bolton, MA",6,-71.6078449,42.4334258,FALSE
"Boston, MA",2,-71.0582912,42.3602534,FALSE
"Bow, NH",8,-71.549149,43.133061,FALSE
"Brookline, NH",274,-71.6581267,42.7348102,FALSE
"Brooklyn, NY",4,-73.9495823,40.6501038,FALSE
"Burlington, MA",5,-71.1956111,42.5048167,FALSE
"Candia, NH",6,-71.277237,43.077916,FALSE
"Center Barnstead, NH",2,-71.2595107,43.339247,FALSE
"Charlestown, MA",3,-71.0619957,42.3778749,FALSE
"Chelmsford, MA",19,-71.3672838,42.5998139,FALSE
"Chester, NH",8,-71.2572846,42.9567525,FALSE
"Chichester, NH",4,-71.400146,43.249704,FALSE
"Clinton, MA",2,-71.6859507,42.4199632,FALSE
"Colrain, MA",6,-72.6971665,42.6728607,FALSE
"Concord, NH",28,-71.537476,43.207178,FALSE
"Contoocook, NH",2,-71.7135465,43.2224096,FALSE
"Dallas, TX",6,-96.7968559,32.7762719,FALSE
"Deerfield, NH",9,-71.216812,43.146589,FALSE
"Derry, NH",122,-71.3264492,42.8808677,FALSE
"Dover, NH",5,-70.8739158,43.198057,FALSE
"Dracut, MA",4,-71.3020052,42.6703687,FALSE
